MasterYear,Form Number,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,Net Loss,Facility,CauseofLoss,Remedy,Water,WaterName,Location,Remarks,LeaseName,FieldNumber,FieldNumber,Into_Water,Unique_ID
2014,1233,7C,MEMORIAL PRODUCTION OPER. LLC,12/31/2014,Producer,COKE,2474,0,0,Crude,10,5,5,Tank Battery,Equipment Failure,Other,0,None,,"31 52 21, 100 18 53","REMOVE ALL STAINED DIRT, REPLACE WITH FRESH TOPSOIL",BRONTE CAPPS UNIT,BRONTE (CAPPS LIME),FALSE,63508
2014,1224,8,APACHE CORPORATION,12/31/2014,Producer,GLASSCOCK,39255,0,0,Crude,8,0,8,Tank Battery,Equipment Failure,Other,0,None,,"31.86431, -101.50749",FREE FLUIDS REMOVED & SOILS WILL BE BLENDED,SCHWARTZ SOUTH,SPRABERRY (TREND AREA),FALSE,63499
2014,1228,8A,"DEVON ENERGY PRODUCTION CO, L.P.",12/31/2014,Other,YOAKUM,19574,0,0,Crude,10,10,0,Other,Act of God,Other,0,None,,"SEC X, BLK D J H GIBSON SURVEY","VACUUM TRUCK, ON SITE REMEDIATION, MIXED SOIL",REEVES UNIT,REEVES (SAN ANDRES),FALSE,63503
2014,1248,7B,"WAPITI OPERATING, LLC",12/31/2014,Producer,STEPHENS,27576,0,0,Crude,201,86,115,Tank Battery,Equipment Failure,Other,0,None,,TE&L CO A-504,"SPILL AREA TURNED TILLED, REMOVED SOILED PADS, BOOMS, BRUSH",SPEAR,STEPHENS COUNTY REGULAR,FALSE,63523
2014,1229,8,APACHE CORPORATION,12/31/2014,Producer,WINKLER,16711,0,0,Crude,310,300,10,Tank Battery,Equipment Failure,Other,0,None,,"31.86574, -102.80051",FREE FLUIDS WERE REMOVED AND SOILS WILL BE BLENDED,"WHEELER, R. A., -B-",WHEELER (WOLFCAMP),FALSE,63504
2014,1217,8A,SCOUT ENERGY MANAGEMENT LLC,12/31/2014,Producer,COCHRAN,19316,0,0,Crude,200,198,2,Tank Battery,Act of God,Installed New Equipment,0,None,,"33.508007, -102.632586",REPLACE ELECTRONIC CONSOLIDATOR DAMAGED BY THE POWER OUTAGE,"SLAUGHTER, NW. (SAN ANDRES) UNIT",SLAUGHTER,FALSE,63492
2014,1232,8,OCCIDENTAL PERMIAN LTD.,12/31/2014,Producer,MARTIN,40691,0,0,Crude,12,0,12,Tank Battery,Company Human Error,Other,0,None,,TANK BATTERY,"PROPERLY MIXED IN PLACE, ON SITE NATURAL BIOREMEDIATION",SOUTH CURTIS RANCH,SPRABERRY (TREND AREA),FALSE,63507
2014,1269,7C,"SLAGEL, H. P. PROD. CO.",12/31/2014,Producer,REAGAN,16507,0,0,Crude,6,0,6,Pipe Line,Equipment Failure,Other,0,None,,184 SL BATTERY,BACKHOE & GANG PERFORMED INITIAL SOIL BLENDING,SUGG-A-,SPRABERRY (TREND AREA),FALSE,63544
2014,1315,8,ENCANA OIL & GAS(USA) INC.,12/31/2014,Producer,MARTIN,38475,0,0,Crude,20,0,20,Tank Battery,Equipment Failure,Other,0,None,,"32.316378, -102.153632",REMEDIATION IN PROGRESS,DOROTHY FAYE-K-,SPRABERRY (TREND AREA),FALSE,63590
2014,1246,7B,TREY RESOURCES INC.,12/31/2014,Producer,PALO PINTO,3139,0,0,Crude,150,50,100,Tank Battery,Act of God,Other,0,None,,"SEC 71, BLK 4 T & P RR CO SURVEY",VACUUM TRUCKS CALLED TO CLEAN UP THE SPILL,"STUART, J. N.",PALO PINTO COUNTY REGULAR,FALSE,63521
