MasterYear,Form Number,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,Net Loss,Facility,CauseofLoss,Remedy,Water,WaterName,Location,Remarks,LeaseName,FieldNumber
2015,1465,7C,"PARSLEY ENERGY OPERATIONS, LLC",12/31/2015,Producer,REAGAN,18970,0,0,Crude,11,10,1,Tank Battery,Equipment Failure,Other,None,,"SEC 9, BLK D, L&SV RR CO A-330","VAC TRUCK, WILL REMEDIATE ANY IMPACTED AREA",RINGO 9,SPRABERRY (TREND AREA) R 40 EXC
2015,1559,8A,OCCIDENTAL PERMIAN LTD.,12/31/2015,Producer,GAINES,63524,0,0,Crude,10,9,1,Tank Battery,Equipment Failure,Other,None,,"SEC 45, BLK AX",CJR CONTRACTORS REMEDIATE THE SOIL,GAINES WASSON CLEARFORK UNIT,WASSON 72
2015,1441,8,OXY USA INC.,12/31/2015,Producer,HOWARD,3994,0,0,Crude,77,72,5,Tank Battery,Equipment Failure,Other,None,,"SEC 47, BLK 32, T-3-N, T&P RR CO SUR",RECOVER AND REMEDIATE IN PLACE,"HYDEN, M. C.","LUTHER, SE. (SILURIAN-DEVONIAN)"
2015,1372,8,ENERGEN RESOURCES CORPORATION,12/30/2015,Producer,MARTIN,44321,0,0,Crude,50,40,10,Tank Battery,Equipment Failure,Other,None,,"32.492396, -101.770841",PICKED UP AS MUCH FREESTANDING FLUID,ACKERLY BARBER 19,SPRABERRY (TREND AREA)
2015,1427,8,"PIONEER NATURAL RES. USA, INC.",12/30/2015,Producer,MIDLAND,18187,0,0,Crude,22,20,2,Tank Battery,Equipment Failure,Other,None,,"31.810064, -101.832863","VAC TRUCK, EXCAVATED, BLENDED WITH FRESH SOIL, BIO REMEDIATION AID",SHACKELFORD SPRABERRY UNIT,SPRABERRY (TREND AREA)
2015,1415,7C,"PARSLEY ENERGY OPERATIONS, LLC",12/30/2015,Producer,REAGAN,18928,0,0,Crude,11,10,1,Tank Battery,Equipment Failure,Other,None,,"SEC 10, BLK D A-788, L&SV RR CO","VAC TRUCK, REMEDIATE ANY IMPACTED AREA",RINGO 10,SPRABERRY (TREND AREA) R 40 EXC
2015,1374,8,ENERGEN RESOURCES CORPORATION,12/30/2015,Producer,WARD,41411,0,0,Crude,6,5,1,Tank Battery,Equipment Failure,Repaired Existing Equipment,None,,"31.629146, -103.421216","SHUT IN THE WELL, REPLACED THE GASKET, PICKED UP FLUID",PRUETT 23,TWO GEORGES (BONE SPRING)
2015,1468,8A,XTO ENERGY INC.,12/30/2015,Producer,GAINES,60580,0,0,Crude,10,6,4,Tank Battery,Equipment Failure,Other,None,,"SEC 10, BLK A-24, PSL SUR","VAC TRUCK, BACKHOE, STEAMED CLEANED VESSELS",ROBERTSON /CLEARFORK/ UNIT,"ROBERTSON, N. (CLEAR FORK 7100)"
2015,1443,8,CALLON PETROLEUM OPERATING CO,12/30/2015,Producer,ANDREWS,39108,0,0,Crude,55,54,1,Tank Battery,Equipment Failure,Other,None,,"SEC 24, BLK 40, T&P RR CO",BIOREMEDIATED THE SOILS ON LOCATION,BOHANNON24,SPRABERRY (TREND AREA)
2015,1376,8,ENDEAVOR ENERGY RESOURCES L.P.,12/30/2015,Producer,HOWARD,41272,0,0,Crude,7,5,2,Tank Battery,Equipment Failure,Other,None,,"32.108547, -101.399825",REMEDIATION IN PROGRESS,"SETTLES, W. R.",HOWARD GLASSCOCK (CONSOLIDATED)
2015,1370,8,DIAMONDBACK E&P LLC,12/29/2015,Producer,ANDREWS,41785,0,0,Crude,170,160,10,Tank Battery,Corrosion - Rust,Installed New Equipment,None,,"32.439559, -102.310705","REPLACED SECTION OF FLOWLINE, VAC TRUCK,",UL III 36,SPRABERRY (TREND AREA)
2015,1391,8A,GREAT WESTERN DRILLING COMPANY,12/29/2015,Producer,TERRY,8637,0,0,Crude,337,218,119,Tank Battery,Equipment Failure,Other,None,,"SEC 23, BLK D-11, C&M RR CO SUR","BACKHOE, VAC TRUCK, CLEANED UP TANK SITE","DAY, CACY ""A""",TERRYON (GLORIETA)
2015,1332,8,COG OPERATING LLC,12/29/2015,Producer,ANDREWS,42858,0,0,Crude,41,20,21,Tank Battery,Equipment Failure,Other,None,,"SEC 17, BLK 3, PSL",CLEAN UP STILL IN PROGRESS,MIRANDA,SPRABERRY (TREND AREA)
2015,1373,8,ENERGEN RESOURCES CORPORATION,12/29/2015,Producer,ANDREWS,21220,0,0,Crude,15,13,2,Tank Battery,Equipment Failure,Other,None,,"32.231722, -102.687002","REPAIRED FLOWLINES, PICKED UP AS MUCH FREESTANDING FLUIDS",WEST FUHRMAN-MASCHO UNIT,FUHRMAN-MASCHO
2015,1394,8A,OXY USA INC.,12/29/2015,Producer,HOCKLEY,6012,0,0,Crude,130,0,130,Tank Battery,Equipment Failure,Other,None,,"LABOR 27, LEAGUE 39","VAC TRUCK, BACKHOE BLADED AREA, REMEDIATION TO BE COMPLETED","SLAUGHTER, R. L. JR. ""C""",SLAUGHTER
2015,1563,8A,OCCIDENTAL PERMIAN LTD.,12/28/2015,Producer,YOAKUM,62541,0,0,Crude,70,0,70,Tank Battery,Equipment Failure,Other,None,,"SEC 759, BLK D, JOHN H GIBSON SUR",REMEDIATE THE SOIL,GIBSON UNIT,WASSON 72
2015,1558,8A,OCCIDENTAL PERMIAN LTD.,12/28/2015,Producer,YOAKUM,66222,0,0,Crude,32,30,2,Tank Battery,Equipment Failure,Other,None,,"SEC 487, BLK D, JOHN H GIBSON SUR",CJR CONTRACTORS REMEDIATE THE SOIL,CENTRAL OWNBY UNIT,"OWNBY (CLEAR FORK, UPPER)"
2015,1428,8,ENCANA OIL & GAS(USA) INC.,12/28/2015,Producer,HOWARD,46708,0,0,Crude,15,15,0,Tank Battery,Equipment Failure,Other,None,,BROOKS 30 BATTERY,"VAC TRUCK, FLUID STAYED INSIDE CONTAINMENT, NO CLEAN UP NEEDED",BROOKS 30,SPRABERRY (TREND AREA STRAWN)
2015,1399,8A,"WALSH PETROLEUM, INC.",12/28/2015,Producer,YOAKUM,70158,0,0,Combined,85,84,1,Tank Battery,Equipment Failure,Other,None,,"SEC 580, BLK D, J.H. GIBSON SUR","PICKED UP LIQUIDS, REMEDIATION",WINBERT,BRAHANEY
2015,1398,8,ENCANA OIL & GAS(USA) INC.,12/28/2015,Producer,MIDLAND,39914,0,0,Crude,12,10,2,Tank Battery,Equipment Failure,Other,None,,"31.661948238, -102.048940409",DOUBLE D CONSTRUCTION ASSIGNED CLEANUP & CLOSURE ACTIVITIES,"DAVIDSON ""36C""",SPRABERRY (TREND AREA)
2015,1416,7C,CALLON PETROLEUM OPERATING CO,12/28/2015,Producer,UPTON,17203,0,0,Crude,16,10,6,Tank Battery,Corrosion - Rust,Other,None,,"31.31504, -101.91230","VAC TRUCK, ON SITE REMEDIATION",NEAL,SPRABERRY (TREND AREA)
