county_name,fips,Net Loss,District
wheeler,48483,33,10
wheeler,48483,151,10
wheeler,48483,5,10
wheeler,48483,2,10
wheeler,48483,22,10
wheeler,48483,7,10
wheeler,48483,440,10
wheeler,48483,60,10
wheeler,48483,20,10
wheeler,48483,1,10
wheeler,48483,30,10
wheeler,48483,5,10
wheeler,48483,43,10
wheeler,48483,60,10
wheeler,48483,3,10
wheeler,48483,0,10
wheeler,48483,46,10
smith,48423,10,6
smith,48423,400,6
smith,48423,52,6
smith,48423,10,6
hardeman,48197,10,9
hardeman,48197,5,9
hardeman,48197,25,9
webb,48479,1,4
webb,48479,15,4
webb,48479,280,4
webb,48479,20,4
webb,48479,16,4
webb,48479,10,4
webb,48479,2,4
webb,48479,16,4
webb,48479,40,4
webb,48479,7,4
webb,48479,17,4
webb,48479,17,4
webb,48479,105,4
webb,48479,2,4
webb,48479,0,4
webb,48479,160,4
webb,48479,428,4
webb,48479,260,4
webb,48479,30,4
lubbock,48303,5,8A
lubbock,48303,5,8A
lubbock,48303,30,8A
lubbock,48303,0,8A
crockett,48105,64,7C
crockett,48105,5,7C
crockett,48105,23,7C
crockett,48105,3,7C
crockett,48105,16,7C
crockett,48105,60,7C
crockett,48105,3,7C
crockett,48105,52,7C
crockett,48105,65,7C
crockett,48105,6,7C
crockett,48105,5,7C
crockett,48105,70,7C
crockett,48105,4,7C
crockett,48105,3,7C
crockett,48105,10,7C
crockett,48105,20,7C
crockett,48105,18,7C
crockett,48105,8,7C
crockett,48105,11,7C
crockett,48105,12,7C
crockett,48105,7,7C
crockett,48105,9,7C
crockett,48105,10,7C
crockett,48105,4,7C
crockett,48105,5,7C
crockett,48105,80,7C
crockett,48105,13,7C
crockett,48105,50,7C
hemphill,48211,2,10
hemphill,48211,0,10
hemphill,48211,7,10
hemphill,48211,1,10
hemphill,48211,120,10
hemphill,48211,2,10
hemphill,48211,1,10
hemphill,48211,19,10
hemphill,48211,0,10
hemphill,48211,9,10
hemphill,48211,3,10
hemphill,48211,8,10
hemphill,48211,2,10
hemphill,48211,22,10
reagan,48383,20,7C
reagan,48383,68,7C
reagan,48383,2,7C
reagan,48383,0,7C
reagan,48383,4,7C
reagan,48383,221,7C
reagan,48383,2,7C
reagan,48383,30,7C
reagan,48383,14,7C
