,fips,CommNbr,Form Number,Gasident,GrossLoss,LeaseNumber,MasterYear,Net Loss,Recovered,Unique_ID,fips_state
0,48001,0.0,7762.0,0.0,1156.0,96256.0,26147.0,272.0,884.0,62603.0,624
1,48003,18380.0,370027.0,903202.0,36360.0,14397603.0,1179793.0,11832.0,24528.0,3782553.0,28128
2,48005,0.0,1905.0,713684.0,1749.0,0.0,12071.0,529.0,1220.0,0.0,288
3,48007,0.0,2488.0,157451.0,254.0,37867.0,10073.0,59.0,195.0,62362.0,240
4,48009,0.0,18821.0,256915.0,2876.0,487409.0,72479.0,2324.0,552.0,63098.0,1728
5,48013,22396.0,42596.0,437244.0,6974.0,761591.0,114869.0,2953.0,4021.0,125656.0,2736
6,48015,0.0,2598.0,262987.0,174.0,66413.0,12073.0,29.0,145.0,0.0,288
7,48021,0.0,3536.0,0.0,51.0,22971.0,6041.0,4.0,47.0,0.0,144
8,48023,0.0,1186.0,0.0,90.0,1365.0,4031.0,80.0,10.0,0.0,96
9,48025,0.0,2016.0,251888.0,1005.0,7248.0,8048.0,126.0,879.0,0.0,192
10,48027,0.0,727.0,0.0,10.0,0.0,2013.0,10.0,0.0,0.0,48
11,48029,0.0,1927.0,0.0,241.0,28911.0,8066.0,241.0,0.0,63085.0,192
12,48033,0.0,25267.0,0.0,2334.0,1560096.0,66416.0,1155.0,1179.0,62446.0,1584
13,48039,1592.0,24710.0,257120.0,4663.0,436906.0,74498.0,791.0,3872.0,126690.0,1776
14,48041,0.0,12140.0,915782.0,16143.0,304732.0,44272.0,337.0,15806.0,504469.0,1056
15,48047,0.0,8372.0,2171655.0,839.0,0.0,30209.0,668.0,171.0,63469.0,720
16,48049,0.0,5276.0,249916.0,444.0,83924.0,12078.0,417.0,27.0,127171.0,288
17,48051,0.0,8382.0,142758.0,1278.0,326184.0,36221.0,546.0,732.0,377318.0,864
18,48055,5916.0,8259.0,0.0,1143.0,107763.0,24183.0,445.0,698.0,63075.0,576
19,48057,0.0,650.0,256605.0,450.0,3339.0,4021.0,60.0,390.0,0.0,96
