,CauseofLoss,CommNbr,County,DateofLoss,District,Facility,FieldNumber,FieldNumber.1,Form Number,Gasident,GrossLoss,Into_Water,LeaseName,LeaseNumber,Location,MasterYear,Net Loss,OperatorNumber,Recovered,Remarks,Remedy,TypeLiquid,Type_Company_Cd,Unique_ID,Water,WaterName
0,Corrosion - Rust,0.0,ECTOR,1/1/2010,8,Pipe Line,NO FIELD NAME,,1068.0,0.0,15.0,,CRAWAR FIELD UNIT,0.0,GPS: N32.0634 W 102.7509,2010.0,5.0,"PLAINS MARKETING, L.P.",10.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Transporter,,None,
1,Other,0.0,REAGAN,1/2/2010,6E,Tank Battery,EAST TEXAS,,19.0,0.0,40.0,,"MOORE, BOSTON",8388.0,MOSLEY SURVEY A-153,2010.0,2.0,DANMARK OPERATING COMPANY LLC,38.0,UNKNOWN CAUSE OF LEAK. AREA REMEDIATED.,Other,Crude,Producer,,Creek,UNNAMED
2,Equipment Failure,0.0,HARRIS,1/2/2010,3,Tank Battery,TOMBALL (KOBS),,3.0,0.0,25.0,,TOMBALL GAS UNIT #18,23647.0,A.SENCHAL A-722,2010.0,5.0,GAITHER PETROLEUM CORPORATION,20.0,CREEK WAS REMEDIATED AND AREA REMEDIATED.,Other,Crude,Producer,,Creek,WILLOWCREEK
3,Corrosion - Rust,0.0,JACK,1/2/2010,9,Flow Line,NO FIELD NAME,,26.0,0.0,12.0,,"YATES, G.H.",0.0,LATITUDE 33 DEG 10 MIN 8.03 SEC LONGITUDE 98 DEG 15 MIN 19.39 SEC ,2010.0,1.0,ENBRIDGE GATHERING(NORTHTEXAS)LP,11.0,REMEDIATION OF SOIL AND WATER IS ONGOING.,Other,Products,Other,,Creek,UNNAMED
4,Equipment Failure,0.0,GAINES,1/3/2010,8A,Tank Battery,"JENKINS, NORTH (CLEAR FORK)",,870.0,0.0,10.0,,"SPARKS, T. E.",66714.0,"T.E. SPARKS CTB, RRC#66714",2010.0,10.0,OXY USA WTP LP,0.0,SOIL REMEDIATED TO RRC REQUIREMENTS,Other,Crude,Producer,,None,
5,Corrosion - Rust,0.0,PANOLA,1/4/2010,6,Other,NO FIELD NAME,,601.0,0.0,10.0,,FULLER DORWARD UNIT,0.0,"N 32DEG. 12' 05"", W 094DEG. 27',42""",2010.0,0.0,"MARKWEST ENERGY E TX GAS CO, LLC",10.0,VACUUMED FREE FLUID AND REMEDIATED SOIL AND WATER.,Other,Gas Well Liquid,Transporter,,Creek,CANEYCREEK
6,Equipment Failure,1208.0,POTTER,1/4/2010,10,Pipe Line,NO FIELD NAME,,744.0,0.0,7.0,,"NEWTON ""B""",0.0,"TURKEY CREEK DRIP N. FACILITY 12""",2010.0,5.0,"LINN OPERATING, INC.",2.0,REMOVED,Other,Products,Producer,,None,
7,Corrosion - Rust,0.0,HENDERSON,1/4/2010,5,Flow Line,OPELIKA (RODESSA),,51.0,33333.0,60.0,,"DODSON, ROY",0.0,HESTSELBERGER JOHN AB5358-95.740016 32.32344,2010.0,0.0,XTO ENERGY INC.,60.0,VACUUMED OIL AND BIOSORBED CONTAMINATED AREA.SITE REMEDIATED.,Other,Crude,Producer,,None,
8,Equipment Failure,0.0,STERLING,1/6/2010,8,Tank Battery,NO FIELD NAME,,1057.0,0.0,9.0,,WILBORN,0.0,GPS: N32.0634 W102.7509,2010.0,1.0,PLAINS PIPELINE L.P.,8.0,SOIL REMEDIATION PLAN IN PROGRESS.,Other,Crude,Transporter,,None,
9,Equipment Failure,0.0,HUTCHINSON,1/7/2010,10,Tank Battery,PANHANDLE HUTCHINSON COUNTY FLD.,,745.0,0.0,15.0,,HUTH,4797.0,CONTAINMENT AREA FOR HEATER TREATER & FREE WATER KNOCK OUT.,2010.0,2.0,"LINN OPERATING, INC.",13.0,REMOVED FREE FLUIDS. PREFEX ENERGY REMEDIATED AND SAMPLED AREA.,Other,Crude,Producer,,None,
