"Search Criteria:"

"Lease Type: Both"
"Original Authority Date: 09/20/2017 to 09/20/2018"

"UIC No.","API No.",District,"Lease No.","Lease Name","Well No.","Field Name","Operator Name",County,Oil/Gas,"Formation Names"
000115298,38935920,08,000000,,4WD,,,REEVES,,"BELL CANYON, CHERRY CANYON"
000115562,10730534,8A,62711,"AMOCO-COLLIER ESTATE",7,"RIDGE, SOUTH (GLORIETA)","BRIDWELL OIL CO.",CROSBY,Oil,GLORIETA
000115563,10730426,8A,62711,"AMOCO-COLLIER ESTATE",8,"RIDGE, SOUTH (GLORIETA)","BRIDWELL OIL CO.",CROSBY,Oil,GLORIETA
000115564,10730459,8A,62711,"AMOCO-COLLIER ESTATE",9,"RIDGE, SOUTH (GLORIETA)","BRIDWELL OIL CO.",CROSBY,Oil,GLORIETA
000115642,43333828,7B,30910,"CORSICA UNIT",9,"CORSICA (BEND CONGLOMERATE)","MID-CON ENERGY OPERATING, LLC",STONEWALL,Oil,"BEND CONGLOMERATE"
000115643,43333952,7B,30910,"CORSICA UNIT",38,"CORSICA (BEND CONGLOMERATE)","MID-CON ENERGY OPERATING, LLC",STONEWALL,Oil,"BEND CONGLOMERATE"
000115644,32941758,08,49895,"MORELAND 4",3W,"SPRABERRY (TREND AREA)","DISCOVERY OPERATING, INC.",MIDLAND,Oil,"DEVONIAN, SIMPSON, FUSSELMAN, ELLENBURGER"
000115645,32941555,08,000000,,3701,,,MIDLAND,,"SAN ANDRES/GLORIETA"
000115646,46140557,7C,000000,,101,,,UPTON,,"SAN ANDRES/GLORIETA"
000115647,31741032,08,49566,WISHBONE,431D,"SPRABERRY,E.(TR. AREA 7400-8860)","MID-STATES OPERATING COMPANY",MARTIN,Oil,"GRAYBURG/SAN ANDRES"
000115648,32900000,08,000000,,1,,,MIDLAND,,"SAN ANDRES"
000115649,47537216,08,000000,,2,,,WARD,,"CHERRY CANYON"
