MasterYear,Crude Oil Production BBL,Daily Avg. Production (Mbbl/day),Number of Producing Wells,Percent Change in Production,Avg. Per Well Production (bbl/day),Crude Oil Reserves as of Jan. 1 (Mbbl)
2017,1026765000,2813,187139,0.0535,15.03,n/a
2016,974612000,2663,178927,-0.03,14.88,n/a
2015,1004774000,2752,193807,0.1158,14.2,13057
2014,900492000,2467,190331,0.2807,12.96,14058
2013,703119000,1926,179797,0.3188,10.71,12004
2012,533141000,1457,167864,0.3536,8.68,11101
2011,393880000,1079,161402,0.1036,6.69,8108
2010,356911000,978,158451,0.0359,6.17,6356
2009,344527000,944,157807,-0.0061,5.98,5496
2008,346632000,947,156588,0.031,6.07,4555
2007,336222000,921,153223,-0.0137,6.01,5122
2006,340885000,934,151832,-0.0097,6.15,4871
2005,344226000,943,151286,-0.0143,6.23,4919
2004,349233000,957,151205,-0.0224,6.33,4613
2003,357240000,979,153461,-0.0194,6.38,4583
2002,364314000,998,155865,-0.0384,6.4,5015
2001,378849000,1038,159357,-0.0497,6.51,4944
2000,398678000,1092,161097,-0.02,6.76,5273
1999,406815000,1115,162620,-0.1108,6.9,5339
1998,457499000,1253,170288,-0.0642,7.4,4927
1997,488860000,1339,175475,-0.0132,7.6,5687
1996,495378000,1357,175277,-0.0324,7.72,5736
1995,511962000,1403,177397,-0.0545,7.91,5743
1994,541482000,1486,179955,-0.0576,8.26,5847
1993,574568000,1577,186342,-0.0622,8.46,6171
1992,612692000,1677,193310,-0.0527,8.67,6441
1991,646776000,1770,196292,0.0013,9.02,6797
1990,645941000,1765,194962,-0.007,9.05,7106
1989,650514000,1784,190821,-0.0683,9.35,6966
1988,698224000,1909,196580,-0.037,9.71,7043
1987,725029000,1988,199354,-0.0753,9.97,7112
1986,784106000,2150,200055,-0.056,10.75,7152
1985,830597000,2281,210477,-0.0176,10.84,7782
1984,845502000,2313,207451,-0.0042,11.15,7557
1983,849072000,2328,197983,-0.026,11.76,7539
1982,871780000,2388,191319,-0.0287,12.48,7616
1981,897573000,2459,183991,-0.036,13.36,8093
1980,931078000,2544,175673,-0.0485,14.48,8206
1979,978544000,2681,169826,-0.06,15.79,8284
1978,1040966000,2852,166365,-0.0546,17.14,8911
1977,1101137000,3017,163746,-0.0458,18.42,9751
1976,1153941000,3153,160546,-0.0268,19.64,10080
1975,1185683000,3248,160603,-0.0322,20.22,11001
1974,1225166000,3357,159702,-0.0254,21.02,11756
1973,1257057000,3444,159090,-0.005,21.65,12144
1972,1263412000,3452,167233,0.0685,20.64,13023
1971,1182371000,3239,172696,-0.0209,18.76,13195
1970,1207625000,3309,177221,0.0908,18.67,13063
1969,1107146000,3033,183141,0.0178,16.56,13809
1968,1087825000,2972,187681,0.013,15.84,14494
1967,1073848000,2942,192100,0.0735,15.31,14077
1966,1000325000,2741,196308,0.0724,13.96,14303
1965,932810000,2556,197924,0.0045,12.91,14299
1964,928606000,2537,199119,0.0144,12.74,14573
1963,915420000,2508,198236,0.0239,12.65,14648
1962,894023000,2449,197659,-0.0008,12.39,14849
1961,894765000,2451,196396,0.003,12.48,14758
1960,892084000,2437,192627,-0.0554,12.65,14859
1959,944410000,2587,188934,0.0379,13.69,14322
1958,909958000,2493,182633,-0.1399,13.65,14555
1957,1057997000,2899,176705,-0.0194,16.41,14783
1956,1078886000,2948,168930,0.0762,17.45,14933
1955,1002480000,2747,158598,0.0503,17.32,14982
1954,954434000,2615,149142,-0.0461,17.53,14998
1953,1000545000,2741,142159,-0.0092,19.28,14916
1952,1009793000,2759,136398,0.018,20.23,15314
1951,991983000,2718,130309,0.2129,20.86,13581
1950,817842000,2241,123271,0.1103,18.18,13509
1949,736627000,2018,115483,-0.1754,17.47,12484
1948,893314000,2454,109643,0.0945,22.38,11777
1947,816188000,2236,105537,0.0798,21.19,11646
1946,755900000,2071,103109,0.0065,20.09,11470
1945,751045000,2058,101225,0.0134,20.33,10835
1944,741126000,2025,99746,0.2616,20.3,11324
1943,587436000,1609,98596,0.2294,16.32,11545
1942,477828000,1309,98757,-0.0428,13.25,10975
1941,499208000,1368,98802,0.0258,13.85,10623
1940,486662000,1330,95214,0.0212,13.97,9768
1939,476550000,1306,89914,0.0166,14.52,9447
1938,468782000,1284,85137,-0.0737,15.08,6422
1937,506067000,1386,77565,0.2084,17.87,6010
1936,418776000,1144,68054,0.1149,16.81,5500
1935,375617000,1029,59461,,17.31,
