"Search Criteria:"

"Initial View: Operator"
"Well Type: Both"
"District: 7C"
"Date Range: Jan 1993 - Sep 2018"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"1226 PRODUCTIONS, INC.",953609,40538,40637,0,0
"1380 PRODUCTION, INC.",953741,12707,3032,0,0
"1984 OPERATING COMPANY L.L.C.",953521,0,0,0,0
"2 W PETROLEUM",953633,0,0,0,0
"20TH CENTURY PIPE & EQUIP.CO.INC",953627,109,736,0,0
"2R PRODUCTION COMPANY",953668,0,0,0,0
"3 AMIGOS OIL CO.",953601,0,0,0,0
"3-D OIL & GAS",953631,157741,533679,283288,521
"3-M ENERGY CORPORATION",953706,1017717,7302034,128875,493
"3-T EXPLORATION, INC.",953682,47855,107889,0,0
"31 OPERATING LLC",953535,0,0,0,0
"3H CONSULTING, LLC",953815,0,0,0,0
"3N OILFIELD SERVICES LLC",953558,0,0,0,0
"3PGM, LTD.",953617,343,0,0,0
"4-WAY DISPOSAL SYSTEMS, INC.",953680,0,0,0,0
"4D ENERGY CO.",953622,43905,701183,128512,1195
"4R OIL COMPANY",953760,432,0,0,0
"7S OIL & GAS, LLC",954992,14591,56287,132948,1063
"A & B OIL COMPANY",000173,0,0,0,0
"A & R DISPOSAL",000505,0,0,0,0
"A - Z OPERATING LLC",000116,324,0,0,0
"A A PRODUCTION INC.",000151,362,811,0,0
"A&R DISPOSAL OPERATING CO., LLC",000129,0,0,0,0
"A. P. B. PETRO",000635,7032,36491,123890,166
"A.A.F. PRODUCTION CO., INC.",000141,4624,46905,0,0
"A.E.N. ENERGY",000204,13012,86885,0,0
"A.E.N. ENERGY, INC.",000190,7712,40984,0,0
"A.K.C. OPERATING",000254,4839,41150,10669,0
"AARON & JETER",000860,17535,106,0,0
"ABARTA OIL & GAS CO., INC.",000918,120439,117482,0,0
"ABEL PRODUCTION COMPANY",001420,33949,25181,689,2
"ABERDEEN PETROLEUM (USA) INC.",002557,1722,7,0,0
"ABERNATHY EXPLORATION COMPANY",002615,6932,1260,0,0
"ABILENE AMERICAN ENERGY, LLC",002627,32,0,0,0
"ABRAXAS PETROLEUM CORPORATION",003125,129673,724177,1266849,13408
"ABRAXAS PRODUCTION CORPORATION",003140,64762,214226,402683,6640
"ABTEX ENERGY, INC.",003201,795,189,0,0
"ACCELL NATURAL GAS COMPANY",003391,29049,38089,1146516,3024
"ACME ENERGY SERVICES, INC.",003589,0,0,0,0
"ACOCK OPERATING LIMITED",003596,0,0,0,0
"ACTIVA RESOURCES, LLC",003664,0,0,0,0
"ADAMS BRANCH EXPLORATION COMPANY",003975,78366,362112,0,0
"ADAMS FEE PROPERTIES INC.",005400,0,0,101838,0
"ADAMS RESOURCES EXPL. CORP.",003996,3008,0,0,0
"ADAMS, DORIS J.",004600,0,0,1445,0
"ADAMS, S. E.",007480,0,0,0,0
"ADCOCK, CAROL",007832,9010,0,101089,0
"ADCOCK, DON",007838,3869,82,206655,18
"ADCOCK, LEROY",007830,5829,0,158265,0
"ADINO EXPLORATION",007911,14,0,0,0
"ADKINS, R. L. CORP.",007937,0,0,0,0
"ADVANCED EIGHT EXPLORATION, LLC",008504,0,0,0,0
"ADVENTURE EXPLORATION PTRS, LLC",008493,29480,26704,488321,493
