"Search Criteria: "

"Initial View: Operator"
"Well Type: Both"
"District: 7C"
"Date Range: Jan 1993 - Sep 2018"

Date,"Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
1993,26224698,112762902,274678398,1234637
1994,24747517,108645379,302452695,1254672
1995,24293574,103230676,320777130,1414881
1996,22845848,100089239,343794259,1665624
1997,22268529,93773788,348475852,1918096
1998,20617655,88823031,338603662,1795510
1999,19086655,81953189,300705998,1403989
2000,20604065,81595998,286270054,1238207
2001,19006208,78856977,291643584,1419449
2002,16815865,74951134,299189221,1601721
2003,15805952,71477783,322886502,2235113
2004,15566841,67091910,329099904,2361101
2005,18197226,72037057,332462900,2509460
2006,20247280,75655482,345051253,2100421
2007,22292711,78785701,331308711,1865413
2008,26069771,87402457,311219004,1910182
2009,26770287,97135441,283613728,1782227
2010,29863731,110501732,253802802,1532781
2011,35241928,128060207,223685587,1198643
2012,45762142,163980800,195851912,974102
2013,59976603,216391497,172652935,824613
2014,83445288,318135642,156615730,712514
2015,96319367,401888787,144175814,667959
2016,98630694,428481433,130739974,664119
2017,114915528,487923279,121050733,600029
2018,70420546,322086619,64316848,311341
Total,996036509,4051718140,6825125190,37196804
