"Search Criteria: "

"Initial View: Operator"
"Well Type: Both"
"District: 7C"
"Date Range: Jan 1993 - Sep 2018"

Date,"Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
" Jan 1993",2377122,9635932,22600820,103082
" Feb 1993",2133754,8839461,21291413,95635
" Mar 1993",2328100,9835478,23633776,102790
" Apr 1993",2192596,9464793,22873565,94191
" May 1993",2218293,9449575,22238520,93705
" Jun 1993",2106903,9337071,22334210,83429
" Jul 1993",2110712,9507645,23460234,80252
" Aug 1993",2145641,9572226,22751995,80461
" Sep 1993",2082994,9350808,22553292,94535
" Oct 1993",2198334,9566292,23208875,184879
" Nov 1993",2167280,9016910,23677200,108454
" Dec 1993",2162969,9186711,24054498,113224
" Jan 1994",2171620,9173649,24064146,119832
" Feb 1994",1977007,8314685,22207812,110910
" Mar 1994",2152175,9234385,24740146,115490
" Apr 1994",2050722,9012574,24211751,110861
" May 1994",2070341,9138072,26078467,105769
" Jun 1994",1972614,9051916,24806901,88653
" Jul 1994",2031753,9448260,25943690,87553
" Aug 1994",2048434,9379604,25844181,97497
" Sep 1994",2010367,8997142,25491202,91676
" Oct 1994",2090896,9154612,25828972,96157
" Nov 1994",2046406,8731299,25882956,105491
" Dec 1994",2125182,9009181,27352471,124783
" Jan 1995",2123944,8844211,26448808,125009
" Feb 1995",1911700,8027015,24905284,114329
" Mar 1995",2115386,8820472,27565843,123851
" Apr 1995",2020041,8484140,26611420,119268
" May 1995",2047487,8901030,27835491,119538
" Jun 1995",1965533,8550372,26723295,103448
" Jul 1995",2013767,8841647,26347780,116191
" Aug 1995",2019534,8965857,26179504,116290
" Sep 1995",1981790,8565998,26172685,104700
" Oct 1995",2042443,8541518,27466858,117627
" Nov 1995",2005669,8266954,26966088,125978
" Dec 1995",2046280,8421462,27554074,128652
" Jan 1996",2035493,8437333,27393114,132552
" Feb 1996",1875109,7911345,26169834,119397
" Mar 1996",2015330,8243888,28290807,125964
" Apr 1996",1902994,8280475,27888399,126045
" May 1996",1942286,8948175,29144526,143048
" Jun 1996",1854794,8499346,28224960,129276
" Jul 1996",1888479,8772667,29317882,129272
" Aug 1996",1860853,8602647,29508855,124747
" Sep 1996",1834720,8224464,27935819,139293
" Oct 1996",1913017,8338966,30071581,170347
" Nov 1996",1823348,7846071,29223396,162876
" Dec 1996",1899425,7983862,30625086,162807
" Jan 1997",1836374,7779821,29234605,150481
" Feb 1997",1709955,7166823,26786169,142099
" Mar 1997",1885329,8165677,30168966,156597
" Apr 1997",1814156,7792814,28554716,158371
" May 1997",1899139,8180531,29600884,156333
