"Search Criteria:"

"Initial View: Operator"
"Well Type: Both"
"District: 7C"
"Date Range: Jan 2000 - Jan 2001"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"1226 PRODUCTIONS, INC.",953609,6758,4956,0,0
"3-D OIL & GAS",953631,5846,11207,0,0
"3-M ENERGY CORPORATION",953706,40855,334581,0,0
"4D ENERGY CO.",953622,971,18786,11599,7
"A & B OIL COMPANY",000173,0,0,0,0
"A & R DISPOSAL",000505,0,0,0,0
"A. P. B. PETRO",000635,0,0,9838,0
"A.E.N. ENERGY",000204,2043,12533,0,0
"A.K.C. OPERATING",000254,944,6752,2819,0
"AARON & JETER",000860,1813,11,0,0
"ABARTA OIL & GAS CO., INC.",000918,19434,14853,0,0
"ABERNATHY EXPLORATION COMPANY",002615,65,12,0,0
"ABRAXAS PETROLEUM CORPORATION",003125,6070,38917,93839,1326
"ACME ENERGY SERVICES, INC.",003589,0,0,0,0
"ADAMS BRANCH EXPLORATION COMPANY",003975,5835,37187,0,0
"ADAMS, S. E.",007480,0,0,0,0
"ADCOCK, DON",007838,620,0,18992,0
"ADCOCK, LEROY",007830,121,0,1940,0
"AIKMAN OIL CORP.",009105,0,27,0,0
"ALARON ENERGY, INC.",010450,8977,25571,2134,0
"ALEGRE ENERGY, INC.",011441,34236,160372,0,0
"ALEXANDER - HERRING, INC.",011653,0,0,0,0
"ALPINE RESOURCES, INC.",015141,5243,28513,4822,538
"ALTURA ENERGY LTD.",015726,0,0,4880494,38
"AMERAC ENERGY CORPORATION",016973,44473,35422,0,0
"AMERIND OIL COMPANY, LTD.",019756,26198,81562,0,0
"AMOT OPERATING COMPANY",020452,0,0,0,0
"ANADARKO PETROLEUM CORPORATION",020572,320847,1214807,16730,9
"ANDECTOR EXPLORATION COMPANY",020783,615,6504,0,0
"ANDERRA ENERGY CORPORATION",020793,0,0,0,0
"ANDERSON ENERGY CORPORATION",022435,29,1741,260406,190
"ANDERSON, JAMES K. INC.",022275,13758,48674,30900,2
"ANEGADA RESOURCES",025384,0,0,5118,54
"ANTELOPE ENERGY COMPANY, LLC",025698,27296,104347,39510,389
"APACHE CORPORATION",027200,237060,83007,14264,0
"APACHE ENERGY RESOURCES CORP.",027213,0,0,0,0
"ARATEX PRODUCTION COMPANY",028723,11827,72299,20335,887
"ARBEN OIL, INC.",028802,5111,0,0,0
"ARCH PETROLEUM INC.",029270,9589,77974,0,0
"ARCO OIL & GAS CO.",029340,0,0,0,0
"ARCO PERMIAN",029347,259559,1752462,16151320,180158
"AREA PIPE AND EQUIPMENT",029570,0,0,0,0
"ARGENT PETROLEUM CORPORATION",029720,0,0,0,0
"ARIES OPERATING, LLC",030129,14940,9843,0,0
"ARK ENERGY, INC.",030575,0,0,0,0
"ARK-LA-TEX RESOURCES, INC.",030574,0,0,0,0
"ARKLAND PRODUCING CO., INC.",030791,30010,199357,0,0
"ARKOMA PROD CO OF TEXAS, INC.",030808,9190,0,0,0
"ARMOR PETROLEUM, INC.",031585,81478,19030,23822,0
"AROC (TEXAS) INC.",033049,0,0,13745,216
"ARRINGTON,DAVID H. OIL & GAS,INC",033148,0,0,3160,71
"ASA OIL & GAS, INC.",033845,0,0,0,0
"ATF PETROLEUM INC.",036045,0,0,0,0
"ATHANOR TEXAS INC.",036049,1359,44923,10502300,36848
"AUSTRAL OIL COMPANY INCORPORATED",037680,0,0,0,0
"AXIS ENERGY CORPORATION",039136,4696,124658,0,0
"AZTEC OIL & GAS COMPANY ""A""",039715,0,0,0,0
"B & B PRODUCERS, INC.",039804,9293,16,0,0
"B & M OIL FIELD SERVICES",040780,0,0,0,0
"B & R OPERATING, LLC",041158,1825,12,0,0
"B&B ACEITE, INC",039784,0,0,0,0
"B-J OIL CO.",040722,1176,2309,0,0
"B.P. OIL COMPANY",041827,4396,3807,0,0
"BAGLEY, ROY",042685,566,0,0,0
"BAKER OPERATING, INC.",046623,1516,8882,0,0
"BALLINGER WEST SWD, INC.",048173,0,0,0,0
"BANKHEAD OPERATING CORP.",048403,2784,3,0,0
"BARBEE, R.L. OPERATING, INC.",049145,0,0,1269,0
"BARGO ENERGY COMPANY",049250,0,0,12141,17
"BARNETT ENERGY, INC.",051290,6403,48385,0,0
"BASS ENTERPRISES PRODUCTION CO.",054700,38495,114121,6471488,977
"BAXTER, KELLY H. OIL AND GAS CO.",056536,0,0,1329,0
"BAYOU BEND PETROLEUM CORPORATION",058852,0,0,186971,0
"BAYOU OPERATING COMPANY, INC.",058851,0,0,0,0
"BAYTECH, INC.",058873,7428,62472,0,0
"BC OPERATING, INC.",058893,0,0,0,0
"BEACH EXPLORATION, INC.",058915,26414,50592,80625,1682
"BEAN & BEAN INC.",059966,0,0,22556,79
"BEE-JAY PETRO, INC.",061747,0,0,10721,0
"BELCO ENERGY CORP.",062673,159427,2188354,124129,152
"BELL, CODY, JR.",062790,2152,1500,0,0
"BELLWETHER EXPLORATION COMPANY",063865,37144,291710,11354,0
"BENSON & SCHOEN OIL CO., INC.",065970,5318,11974,0,0
"BERRY ENERGY COMPANIES",068144,33,0,0,0
"BERRY, RICHARD B.",068160,0,0,0,0
"BETTIS, BOYLE & STOVALL",068360,22940,52153,48843,0
"BETWELL OIL & GAS COMPANY",068405,2209,12568,24711,0
"BEX, INC.",068454,2967,0,0,0
"BIG LAKE J J OIL & GAS, INC.",069456,4784,25526,0,0
"BIG STATE RANCH",070519,0,0,0,0
"BIG TIO, INC.",070709,0,0,0,0
"BIRD, CHARLES A.",071343,15945,82867,0,0
"BISHOP, D. L.",072480,22630,42098,0,0
"BITZ, M. J. COMPANY",072556,0,0,0,0
"BJM OIL & GAS CORPORATION",072527,0,0,0,0
"BLACK GOLD WELL SERVICE",072648,19538,131,0,0
"BLACK RESOURCES, INC.",072730,754,14685,0,0
"BLACK SPRINGS OIL & GAS, INC.",072719,2340,4510,0,0
"BLOOMER & ASSOCIATES, INC.",075899,741,13,0,0
"BO-VO OPERATING CO.",077597,0,0,0,0
"BODARK OIL COMPANY",078320,26784,0,0,0
"BOMAR OPERATING CO., LC",081512,939,0,0,0
"BORDEN, ROLAND INC.",082982,317,13397,2651,0
"BOWERMAN ENERGY COMPANY",084081,47,0,27637,0
"BOWERMAN OIL & GAS, INC.",084084,51310,43598,92451,0
"BOYD & MCWILLIAMS ENERGY GROUP",084545,21762,153949,62359,4
"BP AMERICA PRODUCTION COMPANY",040798,0,0,28167,219
"BP PROD. CORP.",085370,677,6356,0,0
"BRAZOS PETROLEUM, INC.",089939,0,0,0,0
"BRECCA OIL & GAS OPERATORS, INC.",089968,20,0,0,0
"BRECK OPERATING CORP.",089974,22219,151626,156604,1011
"BRIDWELL OIL CO.",092480,19259,17301,0,0
"BRIGHT & CO.",093125,1866,10731,0,0
"BRIGHT OIL COMPANY",093100,2113,2246,0,0
"BRIGHTWELL, CHARLES R.",093343,0,0,0,0
"BRINKERHOFF EXPLORATION, INC.",093398,5957,0,0,0
"BRISTOL RESOURCES CORPORATION",093548,468,3792,316149,585
"BROOKS, E. B., JR.",097035,22232,21285,73923,0
"BROTHERS PRODUCTION COMPANY INC.",097478,158812,584961,358391,2495
"BROTHERTON PRODUCTION CO.",097484,37537,84441,0,0
"BROWER OIL & GAS CO., INC.",097494,0,0,0,0
"BROWN, FRANK W.",099740,0,0,0,0
"BROWN, OLIVER OIL",101454,432,56,0,0
"BROWN, TOM INC.",102550,27333,153240,2649828,47331
"BRUNO, EARL R.",104150,826,0,0,0
"BTA OIL PRODUCERS",041860,63251,987902,48561,653
"BUBENIK, RONNIE, INC.",105148,0,0,0,0
"BUCK-WELL ENERGY, INC.",105565,0,0,35081,0
"BUD OIL, INC.",106343,5535,14604,0,0
"BUENA VENTURA OPERATING COMPANY",106299,26,13,0,0
"BULLARD WELL SERVICE",106491,590,0,0,0
"BURGER, F.W. INC.",108069,311,1936,0,0
"BURGUNDY OIL & GAS, INC.",108650,4949,53005,0,0
"BURK ROYALTY COMPANY",108800,6519,19417,0,0
"BURLINGTON RES O & G CO-MCCAMEY",109335,25980,0,0,0
"BURLINGTON RESOURCES O & G CO LP",109333,63,840,871216,790
"BURLINGTON RESOURCES OIL&GAS CO.",109338,93119,43794,9286069,8867
"BYNUM OIL COMPANY, INC.",118735,465,4662,0,0
"BYRD OPERATING COMPANY",118748,47549,274733,1191967,295
"C & A ENTERPRISES",119839,72,1122,0,0
"C & W VENTURES L C",121160,0,0,0,0
"C S J, INC.",121073,0,0,0,0
"C-BAR PRODUCTION CO.",121200,537,0,0,0
"CAMEXCO, INC.",127241,0,0,0,0
"CANDELERO OIL & GAS COMPANY",129009,0,0,0,0
