"Search Criteria:"

"Initial View: Operator"
"Well Type: Both"
"District: 7C"
"Date Range: Jan 2001 - Jan 2002"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"1226 PRODUCTIONS, INC.",953609,9039,11398,0,0
"3-D OIL & GAS",953631,5152,10122,0,0
"3-M ENERGY CORPORATION",953706,36053,289704,0,0
"4D ENERGY CO.",953622,811,15719,9204,0
"A & B OIL COMPANY",000173,0,0,0,0
"A & R DISPOSAL",000505,0,0,0,0
"A. P. B. PETRO",000635,0,0,8350,0
"A.E.N. ENERGY",000204,1719,10500,0,0
"AARON & JETER",000860,1749,8,0,0
"ABARTA OIL & GAS CO., INC.",000918,18915,17004,0,0
"ABERNATHY EXPLORATION COMPANY",002615,31,9,0,0
"ABRAXAS PETROLEUM CORPORATION",003125,5303,33623,85029,967
"ACME ENERGY SERVICES, INC.",003589,0,0,0,0
"ADAMS BRANCH EXPLORATION COMPANY",003975,6215,28986,0,0
"ADAMS, S. E.",007480,0,0,0,0
"ADCOCK, LEROY",007830,812,0,25088,0
"AGAVE OPERATING, LP",008587,0,0,0,0
"ALARON ENERGY, INC.",010450,8518,26696,2868,0
"ALEGRE ENERGY, INC.",011441,30663,137702,0,0
"ALEXANDER - HERRING, INC.",011653,0,0,0,0
"ALPINE RESOURCES, INC.",015141,1990,11447,0,0
"AMERIND OIL COMPANY, LTD.",019756,23112,79065,0,0
"AMOT OPERATING COMPANY",020452,0,0,0,0
"ANADARKO PETROLEUM CORPORATION",020572,420548,670284,23214,44
"ANDERRA ENERGY CORPORATION",020793,0,0,0,0
"ANDERSON ENERGY CORPORATION",022435,0,0,216066,42
"ANDERSON, JAMES K. INC.",022275,9565,34642,47363,0
"ANTELOPE ENERGY COMPANY, LLC",025698,23758,87500,36546,390
"APACHE CORPORATION",027200,223970,96066,13077,0
"APACHE ENERGY RESOURCES CORP.",027213,0,0,0,0
"ARATEX PRODUCTION COMPANY",028723,10101,66937,21442,1796
"ARBEN OIL, INC.",028802,3831,0,0,0
"ARCH PETROLEUM INC.",029270,6843,65396,0,0
"ARCO OIL & GAS CO.",029340,0,0,0,0
"ARCO PERMIAN",029347,211279,1446228,14368705,141325
"AREA PIPE AND EQUIPMENT",029570,0,0,0,0
"ARGENT PETROLEUM CORPORATION",029720,0,0,0,0
"ARIES OPERATING, LLC",030129,21672,14276,0,0
"ARK ENERGY, INC.",030575,0,0,0,0
"ARK-LA-TEX RESOURCES, INC.",030574,0,0,0,0
"ARKLAND PRODUCING CO., INC.",030791,20844,215779,0,0
"ARKOMA PROD CO OF TEXAS, INC.",030808,19753,0,0,0
"ARMOR PETROLEUM, INC.",031585,95975,9532,47151,0
"AROC (TEXAS) INC.",033049,0,0,4341,62
"ARRINGTON,DAVID H. OIL & GAS,INC",033148,0,0,0,0
"ASA OIL & GAS, INC.",033845,0,0,0,0
"ATF PETROLEUM INC.",036045,0,0,0,0
"ATHANOR TEXAS INC.",036049,257,37499,10917031,31975
"AUSTRAL OIL COMPANY INCORPORATED",037680,0,0,0,0
"AXIS ENERGY CORPORATION",039136,5477,126199,0,0
"AZTEC OIL & GAS COMPANY ""A""",039715,0,0,0,0
"B & B PRODUCERS, INC.",039804,8820,0,0,0
"B & G ENERGY CORPORATION",040403,0,0,0,0
"B & M OIL FIELD SERVICES",040780,0,0,0,0
"B&B ACEITE, INC",039784,0,0,0,0
"B-J OIL CO.",040722,8546,24430,0,0
"B.P. OIL COMPANY",041827,2618,3602,0,0
"BAGLEY, ROY",042685,626,961,1309,5
"BAKER OPERATING, INC.",046623,1466,8052,0,0
"BAKER RESOURCES",044365,509,2695,9620,40
"BALLINGER WEST SWD, INC.",048173,0,0,0,0
"BANKHEAD OPERATING CORP.",048403,2802,4,0,0
"BARGO ENERGY COMPANY",049250,0,0,2455,0
"BARNETT ENERGY, INC.",051290,4803,35126,93,0
"BARON ENERGY LTD.",052967,1821,7545,1690,0
"BASS ENTERPRISES PRODUCTION CO.",054700,35448,115778,5602942,820
"BAXTER, KELLY H. OIL AND GAS CO.",056536,0,0,0,0
"BAYOU BEND PETROLEUM CORPORATION",058852,0,0,178772,0
"BAYTECH, INC.",058873,7392,63335,0,0
"BC OPERATING, INC.",058893,1915,10079,0,0
"BEACH EXPLORATION, INC.",058915,26719,111507,173130,1078
"BEAN & BEAN INC.",059966,0,0,19960,186
"BEE-JAY PETRO, INC.",061747,0,0,9690,0
"BELCO ENERGY CORP.",062673,110044,1834270,107020,45
"BELL, CODY, JR.",062790,1863,1254,0,0
"BENSON & SCHOEN OIL CO., INC.",065970,4985,11419,0,0
"BERRY ENERGY COMPANIES",068144,5,0,0,0
"BERRY, RICHARD B.",068160,0,0,0,0
"BETTIS, BOYLE & STOVALL",068360,21503,42523,54376,0
"BETWELL OIL & GAS COMPANY",068405,1920,9582,22966,0
"BEX, INC.",068454,4987,36,0,0
"BIG LAKE J J OIL & GAS, INC.",069456,3554,22589,0,0
"BIG STATE RANCH",070519,0,0,0,0
"BIG TIO, INC.",070709,90,1,0,0
"BIRD, CHARLES A.",071343,14475,79616,0,0
"BISHOP, D. L.",072480,22755,40931,0,0
"BITZ, M. J. COMPANY",072556,0,0,0,0
"BJM OIL & GAS CORPORATION",072527,0,0,0,0
"BLACK GOLD WELL SERVICE",072648,18480,122,0,0
"BLACK RESOURCES, INC.",072730,810,14499,0,0
"BLACK SPRINGS OIL & GAS, INC.",072719,1714,2063,0,0
"BLOOMER & ASSOCIATES, INC.",075899,616,12,0,0
"BO-VO OPERATING CO.",077597,0,0,0,0
"BODARK OIL COMPANY",078320,26108,0,0,0
"BOMAR OPERATING CO., LC",081512,28,0,0,0
"BORDEN, ROLAND INC.",082982,387,15105,1619,0
"BOWERMAN ENERGY COMPANY",084081,0,0,33386,0
"BOWERMAN EXPLORATION COMPANY",084079,0,0,0,0
"BOWERMAN OIL & GAS, INC.",084084,40553,29032,75035,285
"BOYD & MCWILLIAMS ENERGY GROUP",084545,14197,132780,57512,0
