"Search Criteria:"

"Initial View: Operator"
"Well Type: Both"
"District: 7C"
"Date Range: Jan 2006 - Jan 2007"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"3-D OIL & GAS",953631,9194,36416,14169,0
"3-M ENERGY CORPORATION",953706,23794,211752,0,0
"4D ENERGY CO.",953622,0,0,0,0
"A&R DISPOSAL OPERATING CO., LLC",000129,0,0,0,0
"ABRAXAS PETROLEUM CORPORATION",003125,4425,28623,54348,569
"ABTEX ENERGY, INC.",003201,276,0,0,0
"ACME ENERGY SERVICES, INC.",003589,0,0,0,0
"ADCOCK, LEROY",007830,531,0,18485,0
"AETHON I LP",008536,186074,1303707,609086,153
"ALARON ENERGY, INC.",010450,12443,119033,8700,0
"ALEGRE ENERGY, INC.",011441,31610,75785,0,0
"ALPINE GAS COMPANY, LLC",015142,519,7163,0,0
"ALWAYS CONSULTING, INC.",016537,742,32,12299,0
"AMERICAN ENERGY PARTNERS, INC.",018046,0,0,5700,0
"ANADARKO E&P COMPANY LP",020542,29473,298780,31726303,7253
"ANADARKO PETROLEUM CORPORATION",020572,459860,310574,24367,18
"ANDERSON ENERGY CORPORATION",022435,0,0,185990,192
"ANDERSON, JAMES K. INC.",022275,10038,17056,22123,0
"ANTELOPE ENERGY COMPANY, LLC",025698,16657,46664,28397,322
"APACHE CORPORATION",027200,161475,96054,330943,2768
"APACHE ENERGY RESOURCES CORP.",027213,0,0,0,0
"APPROACH OPERATING LLC",028625,2470,5403,13279461,159114
"ARBEN OIL, INC.",028802,4677,0,0,0
"ARENA PRODUCTION COMPANY",029586,207,237,0,0
"ARGENT PETROLEUM CORPORATION",029720,0,0,0,0
"ARIES OPERATING, LP",030128,34655,3606,0,0
"ARKLAND PRODUCING CO., INC.",030791,17146,137455,0,0
"ARMOR PETROLEUM, INC.",031585,49273,1111,16524,0
"ASA OIL & GAS, INC.",033845,0,0,0,0
"ASPEN OPERATING COMPANY, L.L.C.",035430,150037,0,92,0
"ATF PETROLEUM INC.",036045,0,0,0,0
"ATMOS PIPELINE - TEXAS",036599,0,0,0,10
"AXIS ENERGY CORPORATION",039136,2377,43150,8110,0
"B & B PRODUCERS, INC.",039804,6323,79,0,0
"B & G ENERGY CORPORATION",040403,6437,1483,0,0
"B & M OIL FIELD SERVICES",040780,0,0,0,0
"B & R OPERATING, LLC",041158,546,9235,0,0
"B-J OIL CO.",040722,0,0,0,0
"B.P. OIL COMPANY",041827,398,0,0,0
"BAGLEY, ROY",042685,117,0,405,0
"BAKER OPERATING, INC.",046623,1038,4965,0,0
"BAKER RESOURCES",044365,916,3062,131705,157
"BANKHEAD OPERATING CORP.",048403,1236,13,0,0
"BARBEE, R.L. OPERATING, INC.",049145,0,0,2763,3
"BARKER BROWN INVESTMENTS, LLC.",049397,0,0,0,0
"BARNETT ENERGY, INC.",051290,2995,30493,0,0
"BARROW-SHAVER RESOURCES CO.",053321,0,0,6509,59
