"Search Criteria:"

"Initial View: Operator"
"Well Type: Both"
"District: 7C"
"Date Range: Jan 2018 - Sep 2018"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"1984 OPERATING COMPANY L.L.C.",953521,0,0,0,0
"3 AMIGOS OIL CO.",953601,0,0,0,0
"3-D OIL & GAS",953631,1920,9728,7956,0
"3-T EXPLORATION, INC.",953682,32502,106192,0,0
"31 OPERATING LLC",953535,0,0,0,0
"3H CONSULTING, LLC",953815,0,0,0,0
"3N OILFIELD SERVICES LLC",953558,0,0,0,0
"7S OIL & GAS, LLC",954992,241,657,7904,5
"A - Z OPERATING LLC",000116,324,0,0,0
"ABRAXAS PETROLEUM CORPORATION",003125,2522,16138,8151,0
"ACOCK OPERATING LIMITED",003596,0,0,0,0
"ADCOCK, CAROL",007832,585,0,4492,0
"ADVENTURE OPERATING COMPANY, LLC",008483,76731,132003,0,0
"AEON OPERATING, INC.",000834,0,0,0,0
"ALAMO OPERATING COMPANY, L. C.",010074,0,0,0,0
"ALARON ENERGY, INC.",010450,556,12255,2075,65
"ALWAYS CONSULTING, INC.",016537,0,0,0,0
"ANDERSON ENERGY CORPORATION",022435,0,0,36108,0
"ANDERSON, JAMES K. INC.",022275,799,360,1821,0
"ANTLE OPERATING, INC.",026646,316,4342,3334,0
"APACHE CORPORATION",027200,5216240,28825403,2365069,12404
"APPROACH OPERATING LLC",028625,761050,8630673,2648157,57264
"APV MCCAMEY LLC",028617,9120,0,0,0
"AQUA TERRA PERMIAN, LLC",028618,0,0,0,0
"ARCH OIL & GAS, LLC",029272,5381,20467,49850,358
"ARENA PRODUCTION COMPANY",029586,0,0,0,0
"ARES ENERGY, LTD.",029655,5510,65995,9406,139
"ARGENT PETROLEUM CORPORATION",029720,0,0,0,0
"ARIES OPERATING, LP",030128,1050,4,0,0
"ARKLAND PRODUCING CO., INC.",030791,3478,15469,0,0
"ARMOR PETROLEUM, INC.",031585,6041,0,5959,0
"ARTIFEX ENERGY INC",033755,137,0,0,0
"ASA OIL & GAS, INC.",033845,0,0,0,0
"ASPEN OPERATING COMPANY, L.L.C.",035430,37920,0,1920,0
"ATF PETROLEUM INC.",036045,0,0,0,0
"ATLANTIC RESOURCES COMPANY, LLC",036555,0,0,0,0
"ATLAS FUEL SUPPLY, LTD.",036582,0,0,0,0
"ATLAS OPERATING LLC",036587,9198,53723,0,0
"ATM ENERGY GROUP, LLC",036608,0,0,0,0
"ATROPOS EXPLORATION COMPANY",036618,11225,78667,17680,460
"AVAD OPERATING, LLC",037877,165511,60137,6633,0
"AXIS ENERGY CORPORATION",039136,0,0,0,0
"B & B OIL, INC.",039791,0,0,0,0
"B & G ENERGY CORPORATION",040403,0,0,0,0
"B & M OIL FIELD SERVICES",040780,0,0,0,0
"B-J OIL CO.",040722,0,0,0,0
"B.P. OIL COMPANY",041827,0,0,0,0
"BAGLEY, ROY",042685,0,0,0,0
"BAKER OPERATING, INC.",046623,1217,3065,0,0
"BAKER RESOURCES",044365,231,529,147467,15
"BANKHEAD OPERATING CORP.",048403,229,0,0,0
"BANNER OPERATING, LLC",048537,131217,845611,145451,880
"BARBEE, R.L. OPERATING, INC.",049145,0,0,1007,4
"BARNETT ENERGY, INC.",051290,788,8369,0,0
"BARON ENERGY INC.",052969,0,0,0,0
"BARROW-SHAVER RESOURCES CO.",053321,0,352,16411,142
"BASIC ENERGY SERVICES, L.P.",054313,0,0,0,0
"BAYLOR OPERATING, LLC",058832,4914,5300,2820,0
"BEACH EXPLORATION, INC.",058915,6021,1552,6021,505
"BEAN & BEAN INC.",059966,0,0,7702,146
"BELL, CODY, JR.",062790,0,0,0,0
"BERRY ENERGY COMPANIES",068144,0,0,0,0
"BERRY, RICHARD B.",068160,0,0,0,0
"BETTIS, BOYLE & STOVALL",068360,1445,797,9038,0
"BETWELL OIL & GAS COMPANY",068405,0,0,9753,0
"BIG D ENERGY COMPANY",069344,12,0,0,0
"BIG LAKE J J OIL & GAS, INC.",069456,0,0,0,0
"BIG RUN PRODUCTION COMPANY",070370,0,0,0,0
"BILLS, L. T.",070882,0,0,0,0
"BIRD E&P LLC",071356,4993,17911,0,0
"BJM OIL & GAS CORPORATION",072527,0,0,0,0
"BKM PRODUCTION",072533,828,0,0,0
"BLACK GOLD EAGLE, LLC",073578,0,0,0,0
"BLACK GOLD WELL SERVICE",072648,3658,0,0,0
"BLACK RIVER OPERATING, INC.",072714,0,0,0,0
"BLAKE PRODUCTION COMPANY, INC.",074344,0,2270,0,0
"BNN SOUTH TEXAS, LLC",077558,0,0,0,0
"BO-VO OPERATING CO.",077597,0,0,0,0
"BOAZ ENERGY II OPERATING, LLC",078032,67128,109008,35056,2007
"BOB HUGHES OIL COMPANY, LLC",078050,1203,47634,59045,6
"BOFIN, LLC",078386,3447,0,0,0
"BOLD OPERATING, LLC",080352,692412,2857109,0,0
"BOMAR OPERATING CO., LC",081512,0,0,0,0
"BONFIRE OPERATING LLC",082443,2155,0,0,0
"BORDEN, ROLAND INC.",082982,0,0,0,0
"BOWERMAN INVESTMENTS INC.",084076,204,0,764,0
"BOWERMAN OIL & GAS, INC.",084084,31618,112,1120,0
"BOYD & MCWILLIAMS ENERGY GROUP",084545,310,6560,3921,0
"BRAZOS PETROLEUM, INC.",089939,0,0,0,0
"BRECK OPERATING CORP.",089974,374,1001,1693,0
"BREITBURN OPERATING L.P.",090732,5830,122467,197594,1790
"BRIDWELL OIL CO.",092480,9547,6078,0,0
"BRIGHT OIL COMPANY",093100,0,0,0,0
"BRIGHTRIVER ENERGY CO",093339,1771,1475,0,0
"BRINKERHOFF EXPLORATION, INC.",093398,589,0,0,0
"BRITNIC OIL & GAS, INC.",093621,0,0,0,0
"BROAD OAK ENERGY II, LLC",094742,300830,1666184,0,0
"BROADWAY PETROLEUM COMPANY, LLC",094868,0,0,0,0
"BRODY OIL & GAS SERVICES, INC.",096265,14,0,0,0
"BROOKS, BILLEE K.",097032,1751,1703,1283,0
"BROOKS, E. B., JR.",097035,677,1383,543,0
"BSP OPERATING, LLC",105005,0,0,0,0
"BTA OIL PRODUCERS, LLC",041867,382967,1498062,31568,125
"BUD OIL, INC.",106343,1228,1831,0,0
"BURGUNDY OIL & GAS, INC.",108650,1119,14064,0,0
"BURK ROYALTY CO., LTD.",108799,111,6792,0,0
"BUSTAMANTE OIL COMPANY",112685,2106,12215,25315,932
"BUSTOS, MARTIN OIL",112687,0,0,0,0
"BVX OPERATING, INC.",117237,2746,58394,11456,87
"BYRD OPERATING COMPANY",118748,6893,79633,0,0
"C & A ENTERPRISES",119839,0,0,0,0
"C&J ENERGY SERVICES",120531,0,0,0,0
"C. H. LEVENS, INC.",120504,728,0,0,0
"CALLAN OPERATING COMPANY, LLC",123912,0,0,0,0
"CALLON PETROLEUM OPERATING CO",124828,1167651,5202960,0,0
"CAMBRIAN MANAGEMENT, LTD.",126758,18224,31328,28627,114
"CAMEXCO, INC.",127241,0,0,0,0
"CAMINAR OIL & GAS, LLC",127247,2812,0,0,0
"CANAN MOWREY OPERATING, LLC",129008,40525,0,0,0
"CANTRELL CORP.",129800,0,0,0,0
"CAPATAZ OPERATING, INC.",130354,0,0,67008,159
"CAPITAL EXPLORATION, INC.",130383,0,0,0,0
"CAPITOL WELL SERVICING CO., INC.",130432,3276,10588,31175,232
"CAPSTONE NATURAL RES II, LLC",130550,0,0,0,0
"CARAWAY OPERATING CO.",130690,2421,2065,1176,0
"CARDWELL OIL CORPORATION",130852,901,0,0,0
"CATHS OIL & GAS",139931,0,0,0,0
"CAZAR ENERGY INC",140612,6710,828,4453,40
"CDC SERVICES INC.",120029,0,0,0,0
"CDJ OIL CO.",140598,344,0,0,0
"CEDAR OIL COMPANY",140599,2094,915,1922,0
"CFO RESOURCES, INC.",120105,0,0,0,0
"CHALLENGER OIL INC",152379,0,0,0,0
"CHARTER PETROLEUM COMPANY",146680,561,5138,0,0
"CHEETAH INVESTMENTS, INC.",147217,0,0,0,0
"CHEVRON MIDCONTINENT, L.P.",147862,8740,37596,431825,7303
"CHEVRON U. S. A. INC.",148113,130208,829891,1263242,17040
"CHI OPERATING, INC.",148123,0,0,1622,0
"CHIODO CORP.",149434,0,0,0,0
"CHISHOLM OPERATING, INC.",149454,1829,2410,0,0
"CHOLLA PETROLEUM, INC.",150683,656,8004,83437,0
"CIBOLO WELLS, LLC",153394,0,0,0,0
"CIMAREX ENERGY CO.",153438,0,0,20057,0
"CIMAREX ENERGY CO. OF COLORADO",153429,3394,23000,13005,5
"CITATION OIL & GAS CORP.",154235,2035,26031,0,0
"CLARK OIL CO.",157689,37850,0,0,0
"CLARK, JOHN M., INC.",157283,0,0,20764,0
"CLEAR BROOKE RANCHES, LLC",159376,757,0,0,0
"CLEAR FORK, INCORPORATED",159500,1055,295,0,0
"CLEAR WATER INC.",159643,1291,2308,0,0
"CLEARFORK PRODUCTION, LLC",159652,0,0,0,0
"CLEARLY PETROLEUM, LLC",159651,22161,27061,0,0
"CO ENERGY",161428,0,0,0,0
