"Search Criteria:"

"Initial View: Operator"
"Well Type: Both"
"District: 08"
"Date Range: Jan 1993 - Sep 2018"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"1894 PETROLEUM PARTNERS, LLC",194375,1595,0,0,0
"20TH CENTURY PIPE & EQUIP.CO.INC",953627,5014,3612,0,0
"212 SALTWATER DISPOSAL SVCS, LLC",875066,0,0,0,0
"299 PRODUCTION, LLC",954917,39944,1000925,0,0
"3 AMIGOS OIL CO.",953601,29663,80,0,0
"3 W OIL & GAS",953809,841,0,0,0
"3-M ENERGY CORPORATION",953706,164534,212076,0,0
"3J OIL CO.",953625,345,4,0,0
"3TEC ENERGY CORPORATION",953592,114619,283300,0,0
"4-D OIL & GAS",953830,33726,12171,0,0
"4-D OIL & GAS MANAGEMENT LLC",953775,136359,240302,0,0
"4D ENERGY CO.",953622,2768,39,0,0
5-POINT-SWD,953739,0,0,0,0
"5H OIL CO., LLC",953786,27525,0,0,0
"777 ENERGY, LP",953841,0,0,775,669
"7S OIL & GAS, LLC",954992,104972,16511,22290,1537
"A & B OIL",000172,165563,2091,0,0
"A & G OIL COMPANY, LLC",000103,91680,24868,44034,0
"A & J OIL CO.",000314,2,2,0,0
"A A PRODUCTION INC.",000151,21817,54,0,0
"A K & K ENTERPRISES LLC",000388,790,0,0,0
"A.B.C. ENERGY CO.",000136,0,0,0,0
"A.D. CONSULTANT COMPANY",000212,7045,0,0,0
"A.M. OIL & GAS",000592,1125,14,0,0
"A.O.E. OPERATORS, INC.",000555,154564,181627,0,0
"AAA OIL TRUST",000118,100,0,0,0
"ABARTA OIL & GAS CO., INC.",000918,53300,126,0,0
"ABBA RESOURCES CORP",000940,917,0,0,0
"ABEL, M.D. CO.",001506,10733,36825,0,0
"ABRAXAS PETROLEUM CORPORATION",003125,3983218,16869405,57690787,134509
"ABRAXAS PRODUCTION CORPORATION",003140,227737,364754,4914813,12637
"ACCELL NATURAL GAS COMPANY",003391,9665,14,0,0
"ACCIDIE EXPLORATION AND DEV.,INC",003399,3586,20979,0,0
"ACK OIL CORP.",003578,1666,23,0,0
"ACKERLY SERVICE COMPANY, INC.",003581,12983,113,0,0
"ACME ENERGY SERVICES, INC.",003589,0,0,0,0
"ACUFF, MICHAEL",003678,4444,7755,0,0
"ADAGEO ENERGY GROUP, LLC",003964,1392,0,0,0
"ADAMS OIL & GAS",003983,657,3765,0,0
"ADDWEST MINERALS, INC.",007861,0,0,0,0
"ADEPT OIL OPERATORS INC",007892,23479,0,0,0
"ADGO RESOURCES LLC",007912,6237,0,0,28
"ADKINS PRODUCTION",007920,3897,0,0,0
"ADKINS, R. L. CORP.",007937,12001,50,0,0
"ADT INVESTMENTS, INC.",008477,6754,0,0,0
"ADVENTURE EXPL PARTNERS II, LLC",008491,162357,826570,0,0
"ADVENTURE EXPLORATION PTRS, LLC",008493,198001,488085,0,0
"ADVENTURE OPERATING COMPANY, LLC",008483,128004,71826,0,0
"ADZAN SWD CORPORATION",008522,0,0,0,0
"AEC OPERATING COMPANY",008507,4408,465686,835374,1904
"AEG OPERATING, LLC",008498,2434,0,0,0
"AEGIS ENERGY, INC.",008532,98444,155592,0,0
"AEGIS FLUIDS MANAGEMENT, LLC",008551,9040,0,190,103
"AERO LIVESTOCK & OIL PRODUCTION",008530,924,105,0,0
"AETHON I LP",008536,4025758,2429815,0,0
"AGARITA RESOURCES, LLC",008590,1682,0,0,0
"AGAVE OPERATING, LP",008587,33989,68324,12787,569
"AGGIETECH OIL, LTD.",008718,139816,48508,0,0
"AGHORN OPERATING, INC.",008716,9118823,9021271,199868,0
"AGON OIL COMPANY, LLC",008727,3225,0,0,0
"AICR LLC",008810,1043,0,0,0
"AJ'S PUMP TRUCK SERVICE, INC.",009534,11395,0,3842,0
"AJAX RESOURCES, LLC",000597,4433731,5446155,0,0
"ALADDIN ENERGY, INC.",009770,0,0,0,0
"ALAFAIR ENERGY, INC.",009776,569,0,0,0
"ALARON ENERGY, INC.",010450,25474,171185,143786,2431
"ALEGRE ENERGY, INC.",011441,60717,9696,0,0
"ALLEDER INC.",013296,451538,344097,13080,7
"ALLEGRO OPERATING, INC.",013555,632722,75177,0,0
"ALLEN, STANLEY G. OPERATIONS",013995,0,0,0,0
"ALLIANCE RESOURCES CORPORATION",014162,0,0,0,0
"ALLISON/HOBBS INC.",014573,0,0,12217,0
"ALON USA, LP",015098,0,0,0,0
"ALPAR ENERGY, LP",015099,0,0,0,0
"ALPINE GAS COMPANY, LLC",015142,77922,29481,8665,7106
"ALPINE RESOURCES, INC.",015141,55939,720915,37686,255
"ALPS OIL COMPANY",015140,211351,742039,128252,0
"ALTA ENERGY CORPORATION",015734,11951,19103,0,0
"ALTMAN ENERGY, INC.",015744,0,0,1476,0
"ALTO MINERALS, INC.",015741,257857,729836,871251,320
"ALTURA ENERGY LTD.",015726,38861808,41436033,17817289,34531
"ALVIN'S WELL SERVICE CO.",016542,5064,21,0,0
"AMAX OIL & GAS INC.",016859,4059,25401,2349978,0
"AMBRIT ENERGY CORP.",016886,0,0,102204,0
"AMERAC ENERGY CORPORATION",016973,65935,294309,0,0
"AMERADA HESS CORPORATION",016980,539363,418991,0,4
"AMEREDEV LLC",019798,408674,556371,0,0
"AMEREDEV OPERATING, LLC",019802,335931,521770,0,0
"AMERICAN COMETRA, INC.",018008,379354,7809340,16470575,11779
"AMERICAN EXPLORATION COMPANY",018023,1082831,1069323,2291802,3017
"AMERICAN RESOURCES, INC.",019356,14341,32680,0,0
"AMERICAWEST TRANSPORT, LLC",019746,0,0,0,0
"AMERICO ENERGY RESOURCES, LLC",019752,2646464,240498,511320,0
"AMERIND OIL COMPANY, LTD.",019756,346839,662226,0,0
"AMERITEX OIL & GAS, LLC",019782,0,0,237173,0
"AMIGO PETROLEUM TWO, INC.",019981,1188,6159,0,0
"AMMONITE ENERGY TEXAS, INC.",020408,20407,10033,0,0
"AMOCO PRODUCTION COMPANY",020425,55540762,35906548,6320746,21296
"AMPAK OIL COMPANY",020463,51061,50831,624,0
"AMPLIFY ENERGY OPERATING LLC",020467,0,0,0,0
"AMRICH OPERATING, LLC",020479,0,0,0,0
"AMRON PETROLEUM, INC.",020511,9305,25,0,0
"AMTEX ENERGY",020521,38687,230091,0,0
"AMTEX ENERGY, INC.",020522,226346,769838,1540568,85523
"ANADARKO E&P COMPANY LP",020542,114650,1060647,1051037,7660
"ANADARKO E&P ONSHORE LLC",020528,61193722,136929314,229036183,21842860
"ANADARKO PETROLEUM CORPORATION",020572,46421922,101112166,408833328,1438821
"ANCHOR B PRODUCTION, INC.",020598,106039,169614,0,0
"ANCHOR WELL SERVICE, INC.",020597,20649,117,0,0
"ANDECTOR EXPLORATION COMPANY",020783,434949,2496294,0,0
"ANDREWS COUNTY WASTE DISP, LLC",024326,6,0,0,0
"ANDREWS-BUTANE ROUTE DISPOSAL",024300,0,0,0,0
"ANEGADA RESOURCES",025384,82851,695639,7694,0
"ANGELO, ERNEST, JR.",025440,30957,47551,142300,505
"ANTARES ENERGY COMPANY",025687,519,0,0,0
"ANTELOPE ENERGY COMPANY, LLC",025698,158398,660642,0,0
"ANTELOPE PRODUCTION CO.",025727,52199,157191,0,0
"ANTHONY, BOB G. INC.",026415,2262,4976,0,0
"ANTONIO OIL COMPANY, THE",026690,0,0,0,0
