"Search Criteria: "

"Initial View: Operator"
"Well Type: Both"
"District: 08"
"Date Range: Jan 1993 - Sep 2018"

Date,"Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
1993,160716895,402658310,505006224,1220053
1994,156719740,397834197,507096680,1118936
1995,153206993,363702039,488372399,1068929
1996,152808195,352712595,460472562,1140844
1997,155349720,342685694,441594725,1525275
1998,147419811,334158325,438483684,1990387
1999,129385865,304989528,439179376,1539428
2000,123329326,298731688,429390969,1497894
2001,118497079,289046168,408435382,1464117
2002,112555928,283827281,382729216,1318220
2003,109742990,265002444,365027207,1232215
2004,107581526,244997340,343920125,1135947
2005,108411377,245634883,343481539,1040114
2006,110065109,242892194,357347043,1024696
2007,111424448,254975325,398954105,1011587
2008,118956212,259715538,429616377,1061338
2009,122156586,268297563,434489051,1042045
2010,132792374,295802491,374908519,1029811
2011,157558274,345780606,299583805,1258263
2012,196035394,437108670,252354891,2405368
2013,223573828,517362077,260360890,6395146
2014,272228702,649115907,313034401,15177844
2015,318081236,757108216,390371588,27168642
2016,369799925,878065970,421995482,31650742
2017,465562844,1088184942,535327668,47879702
2018,315652099,731131428,350529209,36205577
Total,4649612476,10851521419,10372063117,190603120
