"Search Criteria: "

"Initial View: Operator"
"Well Type: Both"
"District: 08"
"Date Range: Jan 1993 - Sep 2018"

Date,"Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
" Jan 1993",13781396,33578265,46027105,114239
" Feb 1993",12556857,30823944,41500745,101218
" Mar 1993",13872018,34258054,44675601,105620
" Apr 1993",13248145,33252388,41522383,99216
" May 1993",13541347,34043126,42137179,100202
" Jun 1993",13057140,32954057,39514128,97229
" Jul 1993",13327556,34045679,40756959,97973
" Aug 1993",13432188,34804432,39881522,96448
" Sep 1993",13106611,33697377,40541544,94187
" Oct 1993",13676754,34904489,42599763,109161
" Nov 1993",13345675,32654014,41864668,99539
" Dec 1993",13771208,33642485,43984627,105021
" Jan 1994",13714744,33832762,44125518,102203
" Feb 1994",12372189,31072067,40591198,86176
" Mar 1994",13677960,35384125,44888245,93560
" Apr 1994",13092430,33875805,42502463,83347
" May 1994",13423370,33483273,43279431,95170
" Jun 1994",12735638,33506065,41567911,93288
" Jul 1994",13109770,34355097,43578637,87967
" Aug 1994",13041033,33685331,43390049,89543
" Sep 1994",12624043,32790865,40268675,93401
" Oct 1994",13103916,33247595,38981882,93907
" Nov 1994",12675890,31339698,41339862,99421
" Dec 1994",13148757,31261514,42582809,100953
" Jan 1995",13126157,31140388,41749304,102399
" Feb 1995",11863112,28991484,38598752,95016
" Mar 1995",13048573,31789516,41973847,101611
" Apr 1995",12631265,30458984,40246760,89335
" May 1995",12902287,30899251,42085714,84248
" Jun 1995",12396188,29601396,40661751,79736
" Jul 1995",12888104,30903359,41974835,82902
" Aug 1995",12872836,29846831,41206687,91541
" Sep 1995",12544773,29882956,40573245,82618
" Oct 1995",13150714,31015600,40392394,81340
" Nov 1995",12721086,29525428,39083176,85000
" Dec 1995",13061898,29646846,39825934,93183
" Jan 1996",13070167,29257146,41144474,95593
" Feb 1996",12192990,27564245,38145197,85457
" Mar 1996",13087485,29914448,39904054,91398
" Apr 1996",12592155,29665768,38195099,84839
" May 1996",12837340,30659940,38139996,81203
" Jun 1996",12311023,29739600,37333629,75987
" Jul 1996",12688342,30783350,38435639,80685
" Aug 1996",12685976,30014734,37804372,85478
" Sep 1996",12494264,29173773,36283024,98505
