"Search Criteria:"

"Initial View: Operator"
"Well Type: Both"
"District: 08"
"Date Range: Jan 1999 - Jan 2000"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"20TH CENTURY PIPE & EQUIP.CO.INC",953627,2841,2140,0,0
"3 AMIGOS OIL CO.",953601,2324,13,0,0
"3-M ENERGY CORPORATION",953706,6420,9648,0,0
5-POINT-SWD,953739,0,0,0,0
"A & B OIL",000172,8145,117,0,0
"A.M. OIL & GAS",000592,724,10,0,0
"A.O.E. OPERATORS, INC.",000555,11481,16496,0,0
"ABARTA OIL & GAS CO., INC.",000918,6770,61,0,0
"ABBA RESOURCES CORP",000940,917,0,0,0
"ABEL, M.D. CO.",001506,1028,4356,0,0
"ABRAXAS PETROLEUM CORPORATION",003125,239288,1286628,2188490,5883
"ACCIDIE EXPLORATION AND DEV.,INC",003399,1811,12382,0,0
"ACME ENERGY SERVICES, INC.",003589,0,0,0,0
"ADDWEST MINERALS, INC.",007861,0,0,0,0
"ADEPT OIL OPERATORS INC",007892,223,0,0,0
"AEC OPERATING COMPANY",008507,0,0,152075,161
"AGHORN OPERATING, INC.",008716,468389,243130,0,0
"ALARON ENERGY, INC.",010450,1695,10228,11614,194
"ALEGRE ENERGY, INC.",011441,6814,1196,0,0
"ALLEDER INC.",013296,21761,25012,0,0
"ALLEGRO OPERATING, INC.",013555,8595,0,0,0
"ALPINE RESOURCES, INC.",015141,7681,11026,0,0
"ALPS OIL COMPANY",015140,13666,51773,8184,0
"ALTO MINERALS, INC.",015741,13710,71571,80787,1
"ALTURA ENERGY LTD.",015726,12826288,10698190,5643048,11698
"ALVIN'S WELL SERVICE CO.",016542,389,0,0,0
"AMBRIT ENERGY CORP.",016886,0,0,8869,0
"AMERAC ENERGY CORPORATION",016973,9092,42531,0,0
"AMERICAN COMETRA, INC.",018008,0,0,0,0
"AMERIND OIL COMPANY, LTD.",019756,21669,55071,0,0
"AMMONITE ENERGY TEXAS, INC.",020408,3613,0,0,0
"AMPAK OIL COMPANY",020463,4159,146,0,0
"AMTEX ENERGY, INC.",020522,21337,68354,480457,3898
"ANADARKO PETROLEUM CORPORATION",020572,3174626,8340826,602962,783
"ANCHOR B PRODUCTION, INC.",020598,0,0,0,0
"ANDECTOR EXPLORATION COMPANY",020783,18304,116966,0,0
"ANDREWS-BUTANE ROUTE DISPOSAL",024300,0,0,0,0
"ANEGADA RESOURCES",025384,14330,177634,7694,0
"ANGELO, ERNEST, JR.",025440,2520,7256,13180,60
"ANTELOPE ENERGY COMPANY, LLC",025698,11895,30678,0,0
"APACHE CORPORATION",027200,3594181,5676235,3323314,6978
"ARATEX PRODUCTION COMPANY",028723,1430,2670,0,0
"ARCH PETROLEUM INC.",029270,2722,19,0,0
"ARCO OIL & GAS CO.",029340,0,0,0,0
"ARCO PERMIAN",029347,4001000,57901574,5455342,28284
"ARGOS MINERALS, INC.",029934,0,0,0,0
"ARKLAND PRODUCING CO., INC.",030791,32183,172860,10575,32
"ARMOR PETROLEUM, INC.",031585,48625,62680,0,0
"ARMSTRONG, JOHN COLE",032210,0,0,0,0
"ARRINGTON,DAVID H. OIL & GAS,INC",033148,18651,11031,238644,5
"ARROYO OIL CO.",033626,0,0,0,0
"ASHBROOK OIL CO.",034150,5643,0,0,0
"ASSOCIATED OPERATING & EXPLOR.",035575,0,0,0,0
"ATLANTIC OPERATING, INC.",036546,71380,180846,0,0
"ATLAS ENERGY CORPORATION (DEL.)",036574,0,0,0,0
"ATROPOS PRODUCTION CORPORATION",036617,17427,441195,2045712,10728
"AUSLAND PRODUCTION COMPANY",036934,3267,9597,0,0
"AUSTEX PETROLEUM CORP.",037095,0,0,0,0
"AUSTRAL OIL COMPANY INCORPORATED",037680,569,0,0,0
"AUTOMATED OIL PRODUCTION, INC.",037750,0,0,0,0
"AVRA OIL COMPANY",038723,43799,62384,0,0
"AXIS ENERGY CORPORATION",039136,1471,27392,0,0
"B & B ENERGY",039763,23,0,3096,0
"B & B ENERGY (I)",039783,10,0,0,0
"B & B OPERATING COMPANY",039801,3046,0,0,0
"B & B PRODUCTION CO",039806,5459,11339,41485,0
"B & M ENERGY",040755,1754,4051,0,0
"B & R CONTRACTING",041135,0,0,12529,0
"B & R OIL, INC.",041156,7521,36416,167,0
"B G R PRODUCTION",040687,0,0,0,0
"B K ENERGY",040788,9358,12219,0,0
"B K ENERGY, INC.",040793,14659,20116,0,0
"B-B PRODUCTION",040138,0,0,0,0
"B. B. & C.",039890,217,0,0,0
"B. W. P., INC.",042180,1038,0,0,0
"B.T. RESOURCES",041844,0,0,0,0
"BABER, BILL M.",042263,0,0,0,0
"BAKER OPERATING, INC.",046623,50200,48765,37530,191
"BALD EAGLE OPERATING INC.",047200,1409,2214,31777,0
"BANAM CORPORATION",048175,6707,37908,0,0
"BANKS, R. C.",048500,22932,10850,13711,0
"BAR-BELL, INC.",049772,0,0,0,0
"BARBEE, INC.",048943,741,0,0,0
"BARGO ENERGY COMPANY",049250,17148,6290,0,0
"BARNES-POMEROY OIL COMPANY",050400,7933,0,0,0
"BARNETT ENERGY, INC.",051290,1064,7093,0,0
"BARNHART CO.",052210,0,0,148191,618
"BARRETT RESOURCES CORPORATION",053051,2178,0,0,0
"BARTEK, BRAD",053405,7468,3587,0,0
"BASK OIL",054675,1567,0,0,0
"BASS ENTERPRISES PRODUCTION CO.",054700,969960,3715769,7534317,18023
"BATES & SPIVEY",056160,2033,39,0,0
"BAXTER, D. B. INC.",056550,74278,59636,0,0
"BAXTER, KELLY H.",056555,0,0,0,0
"BAXTER, KELLY H. OIL AND GAS CO.",056536,2958,0,3528,0
"BAYRIDGE TEXAS CORP.",058834,6919,50172,0,0
"BAYTECH, INC.",058873,102505,219486,43727,14
"BC OPERATING, INC.",058893,5426,22901,0,0
"BEACH EXPLORATION, INC.",058915,35086,60319,0,0
"BEASLEY, KENNETH",060210,8835,169,0,0
"BEAVER & CHAPMAN ENERGY CO",060760,0,0,1473,0
"BEBCO PARTS INDUSTRIES, INC.",061035,1684,0,0,0
"BEDFORD OIL & GAS, INC.",061600,2867,26,0,0
"BELCO ENERGY CORP.",062673,1172291,1231598,555055,2709
"BELEW, DAVID",062700,2556,5360,8039,0
"BELL, CODY, JR.",062790,2100,0,0,0
"BELLWETHER EXPLORATION COMPANY",063865,0,0,0,0
"BENNETT EXPLORATION & PROD. CO.",065294,0,0,0,0
"BENNETT, M. BRAD INC.",064785,80061,142199,1,1
"BENNETT, R. C., COMPANY",065324,7698,474374,7621,0
"BEREN CORPORATION",066750,3205,6670,0,0
"BETTIS, BOYLE & STOVALL",068360,70685,175615,0,0
"BEVERLY OIL AND GAS COMPANY",068416,1915,0,11937,0
"BIG ""6"" DRILLING COMPANY",069160,32762,31462,0,0
"BIG D ENERGY COMPANY",069344,0,0,182227,0
"BIG LAKE J J OIL & GAS, INC.",069456,4547,12389,0,0
"BIG RUN PRODUCTION COMPANY",070370,0,0,2879,0
"BIG SPRINGS INVESTMENTS, INC.",070435,0,0,0,0
"BINGHAM'S OIL & GAS",071205,1646,8364,0,0
"BISHOP, D. L.",072480,15968,1568,0,0
"BIT WELL SERVICE & CEMENTERS",072538,0,0,0,0
"BLACK RESOURCES, INC.",072730,0,0,0,0
"BLACK, R. W.",072750,0,0,0,0
"BLAIR EXPLORATION, INC.",074004,0,0,0,0
"BLAIR, R. W.",074175,3633,39,397,0
"BLAKE OIL & GAS CORPORATION",074375,1456,13,0,0
"BLAKE PRODUCTION COMPANY, INC.",074344,0,0,44033,642
"BLANCO OIL CO.",074900,25039,3003,0,0
"BLUCO PRODUCTION CO., INC.",076395,32406,520,0,0
"BLUE STAR RESOURCES, INC.",076774,0,0,2204,0
"BMB OIL PRODUCERS",040654,2714,0,0,0
"BOBCAT OPERATING",077686,0,0,0,0
"BOLAND OIL & GAS",080186,0,0,0,0
"BOLTE, ROBERSON & KOENIG",081428,2305,13,0,0
"BOMAR OPERATING CO., LC",081512,287,0,0,0
"BOMMER ENGINEERING CO.",081565,476,0,0,0
"BOYD & MCWILLIAMS ENERGY GROUP",084545,0,0,0,0
"BOYD, D. K. OIL AND GAS CO.,INC.",084596,0,0,0,0
"BOYD, FOY MANAGEMENT CORP.",084630,0,0,2535,0
"BOYLES, L. S.",085311,2816,13,0,0
"BP PROD. CORP.",085370,249,0,0,0
"BPS CO.",085405,1062,872,0,0
"BRADY, W. PRODUCTION, INC.",088241,0,0,47480,0
"BRAHANEY DRILLING CO.",088380,7902,10163,0,0
"BRAMMER SUPPLY, INC.",088607,11402,355,0,0
"BRANDENBURG BROS. OIL & GRAVEL",088622,0,0,0,0
"BRAZOS PETROLEUM, INC.",089939,0,0,0,0
"BRECK OPERATING CORP.",089974,28323,98018,236386,660
"BRIGHAM OIL & GAS, L.P.",092800,96650,119073,0,0
"BRIGHT & CO.",093125,124537,218774,0,0
"BRISTOL RESOURCES CORPORATION",093548,54317,78930,1031817,711
"BRITANCO, L.L.C.",093620,0,0,23738,0
"BRITNIC OIL & GAS, INC.",093621,0,0,0,0
"BROADWAY OPERATING COMPANY INC.",094871,17071,0,0,0
"BROCK OIL & GAS CORPORATION",095340,2046,5132,0,0
"BROCK, J.",095367,4953,2738,7820,0
"BROTHERS PRODUCTION COMPANY INC.",097478,97766,46386,139524,136
"BROTHERTON PRODUCTION CO.",097484,56,0,0,0
"BROWN, H. L., JR.",100268,13825,40524,59466,0
"BROWN, MABEL INVESTMENTS",100909,0,0,19165,0
"BROWN, OLIVER OIL",101454,1133,558,0,0
"BROWN, TOM INC.",102550,130772,514087,0,0
"BROWNING OIL COMPANY, INC.",103088,5801,5198,0,0
"BRYANS, LEONARD",104277,0,0,0,0
"BTA OIL PRODUCERS",041860,1035339,2476532,3836086,15304
"BUCHANAN, BILLY R.",105270,870,0,0,0
"BUCKEYE ENERGY, INC.",105970,6970,2765,0,0
"BULLDOG OPERATING COMPANY",106508,6945,44909,0,0
"BURCHAM, L. R.",107501,404,0,0,0
"BURGUNDY OIL & GAS, INC.",108650,15860,51905,0,0
"BURKHOLDER, TERRY L., INC.",109160,6835,10762,0,0
"BURLESON, LEWIS B. INC.",109295,141453,155264,34343,0
"BURLINGTON RES O & G CO-MIDLAND",109336,3335180,8537789,6240388,33798
"BURLINGTON RESOURCES OIL&GAS CO.",109338,557831,1022746,2548920,2664
"BURNETT OIL CO., INC.",110016,45146,257866,488292,930
"BURNS, BILL C. INC.",110503,3124,880,0,0
"BUSTAMANTE OIL CO",112691,44,4,0,0
"BUTLER, C. D.",113270,3129,65,0,0
"BUTLER, KEVIN O.",114040,0,0,0,0
"BUTLER, KEVIN O. & ASSOC., INC.",114050,4114,1551,0,0
"BYLER DRILLING COMPANY",118700,143,2,0,0
"BYRD OPERATING COMPANY",118748,17703,85477,0,0
"BYRNE, ROBERT E.",119805,2528,1196,0,0
"C & C SYSTEMS, INC.",119982,0,0,0,0
"C & G PETROLEUM, INC.",120140,6762,9,0,0
"C & N OIL CO",120738,0,0,0,0
"C & S OIL COMPANY",121040,3383,877,0,0
"C OIL CO.",120736,409,379,0,0
"CABLE TOOL DRILLING CO. (1)",121379,131,0,0,0
"CAGLE, R. R. OIL ACCOUNT",122700,854,3700,0,0
"CAL-TEX NATURAL GAS CORP.",125965,0,0,0,0
"CALLEY, BOB",124700,11952,26,0,0
"CAMPANA PETROLEUM COMPANY",127700,5433,138668,0,0
"CANDELERO OIL & GAS COMPANY",129009,0,0,0,0
"CAPATAZ OPERATING, INC.",130354,9082,8102,102137,146
"CAPPS, R. OIL CORP.",130454,2803,1,0,0
"CAPROCK EXPLORATION, INC.",130464,18611,34608,0,0
"CAPROCK OPERATING, INC.",130482,66599,15922,15765,0
"CARAWAY OPERATING CO.",130690,1222,7696,0,0
"CARDINAL SHARES, INC.",130829,1384,12461,1748,0
"CARDWELL OIL CORPORATION",130852,155,0,0,0
"CARLOW CORP.",132340,40839,138135,55583,144
"CARPENTER SERVICES, LTD. CO.",134447,0,0,0,0
"CARRUTH, CHRIS",135963,3010,4694,36647,0
"CASHION, LYLE, COMPANY",139575,8123,13,0,0
"CASPER OIL & GAS",139585,540,0,0,0
"CASTLE EXPLORATION COMPANY, INC",139646,0,0,11585,0
"CATES OIL & GAS",139911,0,0,0,0
"CATOCON, INC.",139999,689,13,0,0
"CATOILAN CORPORATION",140090,0,0,3768,170
"CDK OIL CO.",140605,0,0,0,0
"CENTERFIRE RESOURCES",141044,369,507,0,0
"CENTRAL TEXAS OPERATING, INC.",141255,7607,31797,0,0
"CENTURION GAS CORPORATION",141515,0,0,51663,0
"CEX OPERATING COMPANY",142192,4303,9279,0,0
"CHALK, OTIS, ESTATE",142290,18807,0,0,0
"CHAMBERS OPERATING, INC.",142637,17981,0,0,0
"CHAMPLIN EXPLORATION, INC.",143578,2135,11977,0,0
"CHANCE PROPERTIES",144181,3587,1532,0,0
"CHANEY OIL COMPANY",144386,3233,52,0,0
"CHAPARRAL (USA) ENERGY, INC.",144597,42675,81785,64201,0
"CHAPEL RESOURCES, INC.",145519,4681,108,0,0
"CHAPMAN OIL COMPANY",144751,1518,1199,0,0
"CHARTER PETROLEUM COMPANY",146680,2553,4561,0,0
"CHASE AVENUE CORPORATION, THE",146673,128079,117219,1328717,316
"CHESAPEAKE OPERATING, INC.",147715,14220,68989,0,0
"CHEVRON PIPE LINE COMPANY",148100,0,0,0,0
"CHEVRON U. S. A. INC.",148113,10253944,9238759,62711443,35259
"CHI OPERATING, INC.",148123,7583,37405,0,0
"CHISOS OPERATING, INC.",149441,40766,102876,2774842,3113
"CHOLLA PETROLEUM, INC.",150683,0,0,32379,1037
"CHRISTEVE OIL COMPANY, INC.",150823,1417,0,0,0
"CHUZA OPERATING",153372,0,0,0,0
"CIRCLE W OPERATING",154039,0,0,0,0
"CIRCLE W OPERATING, INC.",154040,0,0,0,0
"CITATION OIL & GAS CORP.",154235,1382781,1649404,368978,2708
"CJN DISPOSAL SYSTEMS",154779,0,0,0,0
"CLARK, JOHN M., INC.",157283,11805,92112,291220,3002
"CLARON CORPORATION",158276,0,0,0,0
"CLAUDE-MAGGIE CO.",158295,2357,26,0,0
"CLAYTON PETROLEUM CORPORATION",159364,0,0,0,0
"CLEVELAND OIL COMPANY,L.L.C.,THE",160451,235,4221,1481,0
"CLIDE OIL CORP.",160557,40042,0,9363,53
"CLIFFWOOD PRODUCTION CO.",160606,167113,229504,19373,0
"CMS OIL AND GAS COMPANY",161360,0,0,691702,52232
"COASTAL MANAGEMENT CORPORATION",161619,233938,198734,39068,368
"COASTAL OIL & GAS CORPORATION",161639,24889,25345,0,0
"COBRA OIL & GAS CORPORATION",163000,582309,381059,55587,1096
"COCHISE ENERGY INC.",163079,24559,1115,0,0
"COCKERHAM, JERRY",163940,0,0,0,0
"CODY ENERGY LLC",164455,184486,684721,0,0
"CODY ENERGY, INC.",164464,17651,64853,0,0
"COLE, JOHN OTIS",167087,701,0,0,0
"COLLINS & WARE, INC.",168348,102256,98060,333237,18973
"COLORADO BLUEBONNET ENERGY CORP.",168930,2412,16961,0,0
"COLORADO LONGSTRINGS",168956,6591,13,0,0
"COMANCHE SALT WATER DISP., INC.",169413,0,0,0,0
"COMPOSTELLA OIL COMPANY",169784,17086,15862,0,0
"COMPUTALOG USA, INC.",170020,0,0,0,0
"CONCHO OILFIELD SERV & OPER CO.",170164,10,2,0,0
"CONCHO RESOURCES INC.",170181,534403,1524827,416727,2397
"CONDOR OPERATING CO.",170450,59898,161686,12668,0
"CONE & PETREE OIL & GAS EXP. INC",170765,3575,13,0,0
"CONE SOUTHWESTERN, INC.",170635,28671,4815,0,0
"CONFED OIL INCORPORATED",170776,57384,136783,0,0
"CONOCO INC.",172230,2057773,725488,70061,896
"CORBELL, W. D.",177946,823,0,0,0
"CORE E & P CORP.",178381,2595,2435,0,0
"CORE ENERGY CORPORATION",178383,38,0,0,0
"CORONA EXPLORATION, INC.",179330,956,20,0,0
"CORVETTE OIL CORPORATION",180200,8592,39,0,0
"COSTA RESOURCES, INC.",180535,0,0,0,0
"COSTILLA ENERGY, INC.",180543,116084,562918,891694,0
"COTTON VALLEY OPERATING COMPANY",182064,2074,0,0,0
"COVE PETROLEUM CORPORATION",182787,13649,15324,0,0
"COVENANT PRODUCTION CO., L.C.",182791,0,0,0,0
"COX & COX PRODUCTION CO.",183232,0,0,0,0
"COX, JOHN L.",185980,506076,1544638,71309,713
"CRAFT, ROBERT",186365,276,0,0,0
"CRAVEY, W. H.",186710,856,13,0,0
"CREAGER AND CREAGER PRODUCTION",186954,0,0,0,0
"CREAMER, DONALD R., INC.",186958,1809,11624,4768,281
"CREGO EXPLORATION",188584,4081,0,0,0
"CRESTRIDGE DRLG. & PROD.CO.,LLC",189906,11426,28754,0,0
"CREWS OIL COMPANY",189962,0,0,0,0
"CRONE OIL COMPANY",190235,2560,55,0,0
"CROSS TIMBERS OPERATING COMPANY",190468,1262680,1495164,0,0
"CROSSROADS EQUIPMENT",190687,0,0,0,0
"CROWNQUEST OPERATING, LLC",191554,255349,56185,0,0
"CRYSTAL RIVER OIL & GAS LLC",191683,2877,0,184464,0
"CUATRO OIL AND GAS CORPORATION",191905,0,0,0,0
"CUERVO, INC.",192030,21003,43767,3902,326
"CURRIE CATTLE CO.",194970,612,0,0,0
"CUSTER & WRIGHT OPERATING, INC.",195651,8241,12702,0,0
"CW CROCKETT, INC.",195809,17402,68309,2564,0
CWOC,195818,9306,242,0,0
"D & B OPERATING, INC.",195823,1563,4926,0,0
"D & T ENERGY",196903,0,0,0,0
"D AND B OIL",196224,6185,0,0,0
"D G D OIL CO.",196170,3214,7297,12879,0
"D. G. OIL CO.",196194,0,0,0,0
"D.B. OIL COMPANY",196118,5461,51,0,0
"DAKOTA RESOURCES, INC. (I)",197416,28903,25927,168031,0
"DAKOTAH CHEYENNE OIL CO.",197998,5,0,0,0
"DALLAS OPERATING CORP.",197686,0,0,0,0
"DAN MAR WELL SERVICE",198201,15648,25045,0,0
"DANIEL OIL & GAS",198570,15824,10559,0,0
"DANIELS, J.C. ENERGY",199606,919,4752,0,0
"DARO PRODUCTION",200828,1580,1093,0,0
"DDS OIL COMPANY",208540,0,0,0,0
"DE COMPIEGNE PROP. CO. 20, THE",211296,2923,0,0,0
"DEAN ENERGY, INC.",208872,10314,49812,0,0
"DEEMAR PRODUCTION COMPANY",209520,0,0,0,0
"DEG ENERGY, INC.",210180,4287,1671,0,0
"DELTA OPERATORS, INC.",213715,9860,5509,0,0
"DESANA DEVELOPMENT CORPORATION",216536,0,0,0,0
"DESERT WELLS CORPORATION",216552,2621,125,0,0
"DESTINY OIL & GAS",216654,0,0,0,0
"DEVON ENERGY CORPORATION(NEVADA)",216735,583241,542339,315832,215
"DIAMOND G PRODUCTION",216869,82,0,1151,0
"DIAMOND M OIL CO., INC.",216899,26,12,0,0
"DICKSON PETROLEUM, INC.",217970,4300,0,0,0
"DILER DEVELOPMENT INC.",218871,4103,0,0,0
"DINERO OPERATING COMPANY",220711,25852,40325,215287,464
"DISCOVERY ENERGY CORP. CC",220841,0,0,0,0
"DISCOVERY OPERATING, INC.",220865,73776,107495,0,0
"DITTMAN, D. W.",220875,896,0,0,0
"DIVERSIFIED O&G PROD. CO., INC.",220889,0,0,0,0
"DIXON, N. D.",221185,1693,0,55628,0
"DMS OIL COMPANY",221520,0,0,107993,0
"DOC PRODUCTION",221877,324,0,0,0
"DONOVAN INVESTMENT CO.",223211,0,0,0,0
"DORLAND, D. L.",224190,0,0,0,0
"DORR, JOHN R.",224475,614,2613,0,0
"DOS CICADAS",224644,31,0,0,0
"DOUBLE D OIL",224806,0,0,0,0
"DOUBLE EAGLE PETROLEUM CORP",224852,0,0,2093,0
"DRACO ENERGY, INC.",227845,11700,151213,0,0
"DREHER, GEORGE R.",228060,32,196,0,0
"DREYFUS, LOUIS NATURAL GAS CORP",228125,73175,105666,246966,370
"DSR OIL & GAS, INC.",196901,7416,34639,3173,0
"DUDLEY OIL CO.",229785,13,11,1963,0
"DUGAN PRODUCTION CORP.",230296,2620,7930,807,81
"DUNCAN DRILLING CO.",232050,14675,1742,0,0
"DUNE OIL AND GAS, INC.",232882,0,0,0,0
"DURHAM, INC.",236330,38260,8526,0,0
"DYAD PETROLEUM COMPANY",237520,177591,290537,2001,0
"DYER, BILL A.",237736,0,0,0,0
"DYNEGY MIDSTREAM SERVICES, LP",237948,0,0,0,0
"E R OPERATING COMPANY",238075,5113,30103,0,0
"EADO PRODUCTION, INC.",238528,20876,39698,1535,0
"EARNEST PRODUCING CORPORATION",238708,28827,59842,53317,0
"EASTLAND OIL COMPANY, THE",239725,2477,610,15331,139
"ECLIPSE OIL & GAS, INC.",241349,33118,280252,319079,6176
"ECLIPSE SERVICES, INC.         *",241402,0,0,0,0
"EDCO OIL CO.",241421,1166,0,0,0
"EDMAR COMPANY, L.L.C.",243289,35178,146120,0,0
"EEX CORPORATION",238527,0,0,0,0
"EILAND NATURAL RESOURCES, LLC",246252,998,13,0,0
"EL PASO NATURAL GAS COMPANY",250300,0,0,0,0
"ELITA, INC.",247723,1010,8276,0,0
"ELLIOTT, B. J.",247840,0,0,0,0
"ELLIOTT, B.J. COMPANY",247841,0,0,0,0
"ELLISON LEASE OPERATING",249390,1232,694,0,0
"EMERALD PRODUCTION CORP.",251156,0,0,0,0
"EMINENT OIL & GAS, INC.",251145,7112,38326,0,0
"EMPIRE OIL & GAS CO.",251440,1880,3453,0,0
"ENDEAVOR ENERGY RESOURCES L.P.",251726,4438,15629,0,0
"ENERGEN RESOURCES CORPORATION",252002,616367,1231815,877170,3470
"ENERGY DEVELOPMENT CORP.",251955,0,0,1226830,3
"ENERSTAR RESOURCES, L.C.",252064,1157,3133,6201,23
"ENG, GEORGE E.",252088,687,1360,0,0
"ENGASCO EQUIPT. CO., INC.",252071,0,0,0,0
"ENGROUP RESOURCES, L.P.",252756,0,0,185850,1719
"ENRON OIL & GAS COMPANY",253196,347809,349597,778316,45
"EOG RESOURCES, INC.",253162,123042,113012,272779,0
