"Search Criteria:"

"Initial View: Operator"
"Well Type: Both"
"District: 08"
"Date Range: Jan 2018 - Sep 2018"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"1894 PETROLEUM PARTNERS, LLC",194375,807,0,0,0
"3 AMIGOS OIL CO.",953601,793,0,0,0
"3 W OIL & GAS",953809,142,0,0,0
5-POINT-SWD,953739,0,0,0,0
"7S OIL & GAS, LLC",954992,9700,60,854,11
"A & B OIL",000172,2820,10,0,0
"A K & K ENTERPRISES LLC",000388,0,0,0,0
"AAA OIL TRUST",000118,0,0,0,0
"ABRAXAS PETROLEUM CORPORATION",003125,550089,1036103,1197588,1724
"ADDWEST MINERALS, INC.",007861,0,0,0,0
"ADGO RESOURCES LLC",007912,1223,0,0,10
"ADKINS PRODUCTION",007920,0,0,0,0
"ADVENTURE OPERATING COMPANY, LLC",008483,39059,23664,0,0
"AGHORN OPERATING, INC.",008716,264812,159336,10668,0
"AGON OIL COMPANY, LLC",008727,1238,0,0,0
"AICR LLC",008810,0,0,0,0
"AJ'S PUMP TRUCK SERVICE, INC.",009534,0,0,0,0
"AJAX RESOURCES, LLC",000597,887863,878559,0,0
"ALARON ENERGY, INC.",010450,57,788,986,0
"ALLEDER INC.",013296,5932,1844,0,0
"ALON USA, LP",015098,0,0,0,0
"ALTO MINERALS, INC.",015741,1656,0,0,0
"AMEREDEV OPERATING, LLC",019802,253156,396953,0,0
"AMERICO ENERGY RESOURCES, LLC",019752,57977,1595,11238,0
"AMPAK OIL COMPANY",020463,849,15,0,0
"AMRICH OPERATING, LLC",020479,0,0,0,0
"AMTEX ENERGY, INC.",020522,24304,7000,1487,1328
"ANADARKO E&P ONSHORE LLC",020528,14087052,33162680,36852974,6364751
"ANDECTOR EXPLORATION COMPANY",020783,2394,7913,0,0
"ANTARES ENERGY COMPANY",025687,318,0,0,0
"ANTELOPE ENERGY COMPANY, LLC",025698,565,12082,0,0
"APACHE CORPORATION",027200,8695568,29153072,2160699,10016
"APC WATER HOLDINGS 1, LLC",027348,0,0,0,0
"APPROACH OPERATING LLC",028625,0,0,0,0
"APR OPERATING LLC",028612,4,0,11111552,914896
"APV MCCAMEY LLC",028617,2697,0,0,0
"AQUA TERRA PERMIAN, LLC",028618,0,0,0,0
"ARABELLA OPERATING, LLC",028704,0,0,0,0
"ARCH OIL & GAS, LLC",029272,28821,10540,8418,82
"ARCTURUS WELL SERVICES LLC",029400,0,0,0,0
"ARENA PRODUCTION COMPANY",029586,297,1406,3489,66
"ARES ENERGY, LTD.",029655,8091,7322,0,0
"ARGOS MINERALS, INC.",029934,0,0,0,0
"ARIES OPERATING, LP",030128,0,0,0,0
"ARKLAND PRODUCING CO., INC.",030791,12742,47652,0,0
"ARMOR PETROLEUM, INC.",031585,5798,6693,0,0
"ARRINGTON OIL&GAS OPERATING LLC",033149,6300,0,0,107
"ARRINGTON,DAVID H. OIL & GAS,INC",033148,0,0,0,0
"ARROYO OIL CO.",033626,0,0,0,0
"ARTIFEX ENERGY INC",033755,6310,16,0,0
"ASHBROOK OIL CO.",034150,2746,0,0,0
"ASPEN OPERATING COMPANY, L.L.C.",035430,1529,0,0,0
"ATINUM OPERATING, INC.",036059,0,0,0,0
"ATLANTIC RESOURCES COMPANY, LLC",036555,53972,77045,3061811,180192
"ATLAS ENERGY CORPORATION (DEL.)",036574,0,0,0,0
"ATLAS OPERATING LLC",036587,13121,0,0,0
"ATOKA OPERATING PERMIAN, LLC",036636,25726,188725,30666,0
"ATOKA OPERATING, INC.",036606,0,0,0,0
"ATROPOS EXPLORATION COMPANY",036618,4515,21374,0,0
"ATROPOS PRODUCTION CORPORATION",036617,1970,73438,158905,572
"AUTOMATED OIL PRODUCTION, INC.",037750,0,0,0,0
"AUTUMN ENERGY OPERATING",037871,35,0,0,0
"AVAD OPERATING, LLC",037877,21530,18653,0,0
"AVIGHNA ENERGY INC",038705,282,0,0,0
"AVRA OIL COMPANY",038723,0,0,0,0
"AXIA ENERGY II, LLC",039132,2690,3060,0,0
"B & B ENERGY",039763,0,0,0,0
"B & B ENERGY (I)",039783,0,0,0,0
"B & R OIL, INC.",041156,2868,15290,1543,0
"B-B PRODUCTION",040138,0,0,0,0
"B. B. & C.",039890,0,0,0,0
"BAKER ATLAS",044343,0,0,0,0
"BAKER OPERATING, INC.",046623,31198,30918,16087,0
"BAKER RESOURCES",044365,0,0,23817,153
"BALD EAGLE OPERATING INC.",047200,466,4990,2076,419
"BAM PERMIAN OPERATING, LLC",048351,48454,413518,0,0
"BARNETT ENERGY, INC.",051290,1474,1866,0,0
"BARNHART CO.",052210,0,0,0,0
"BARROW PETROLEUM LLC",053314,0,0,0,0
"BASA RESOURCES, INC.",053974,195992,22980,0,0
"BASIC ENERGY SERVICES, L.P.",054313,0,0,0,0
"BASIN ENGINEERING-TEXAS LLC",054378,6274,0,0,0
"BASIN WELL SERVICE OF ODESSA,INC",054618,258,0,37208,51
"BASS PETROLEUM, INC",054836,471,0,0,0
"BATIE, PATRICIA",056310,295,0,0,0
"BAXTER, D. B. INC.",056550,1402,69,0,0
"BAY TAN OPERATING, LP",057938,1173,1399,0,0
"BAYLOR OPERATING, LLC",058832,10628,5059,13909,0
"BC OPERATING, INC.",058893,0,0,108341,0
"BEACH EXPLORATION, INC.",058915,16052,17473,0,0
"BEACH OIL & GAS, INC.",058921,0,0,0,0
"BEASLEY, KENNETH",060210,512,0,0,0
"BEBCO PARTS INDUSTRIES, INC.",061035,0,0,0,0
"BECT OPERATING, LLC",061554,0,0,0,0
"BELL ENERGY",062775,2422,3939,0,0
"BELL, CODY, JR.",062790,347,0,0,0
"BELLOWS OPERATING CO., L. C.",063857,0,0,0,0
"BENNETT, R. C., COMPANY",065324,207,10479,31989,413
"BEREN CORPORATION",066750,1458,3162,0,0
"BERRY ENERGY COMPANIES",068144,52,0,0,0
"BEST EQUIPMENT",068283,1112,0,0,0
"BESTO OIL & GAS, INC.",068301,161,680,0,0
"BETTIS, BOYLE & STOVALL",068360,16693,38076,0,0
"BHP BILLITON PET(TXLA OP) CO",068596,361315,1559967,19877218,2985480
"BIG ""6"" DRILLING COMPANY",069160,6793,2699,0,0
"BIG D ENERGY COMPANY",069344,415,0,58928,0
"BILLS, L. T.",070882,0,0,0,0
"BIRCH OPERATIONS, INC.",071331,86968,316142,0,0
"BISON EXPLORATION DRILLING 1, LP",072515,0,0,0,0
"BIT WELL SERVICE & CEMENTERS",072538,0,0,0,0
"BJG OPERATING COMPANY",040810,3962,0,0,0
"BLACK MOUNTAIN OIL & GAS II LLC",072691,289,37252,134473,1628
"BLACK MOUNTAIN OPERATING LLC",072756,0,0,0,0
"BLACK RIVER OPERATING, INC.",072714,0,0,0,0
"BLACKBEARD OPERATING, LLC",073056,565140,1357571,153214,1169
"BLACKMUN FAMILY PARTNERS, L.P.",073230,0,0,0,0
"BLACKWELDER OIL",073331,2878,0,0,0
"BLAKE PRODUCTION COMPANY, INC.",074344,0,0,20106,233
"BLUCO PRODUCTION CO., INC.",076395,7793,30,0,0
"BLUE DARTER ENERGY, LLC",076743,5,0,350,0
"BLUE DUCK SWD, LLC",076722,0,0,0,0
"BLUESTONE NATURAL RES. II, LLC",076861,61757,257668,3546,0
"BMB OIL PRODUCERS LLC",040635,0,0,0,0
"BOAZ ENERGY II OPERATING, LLC",078032,72724,390601,10223,56
"BOBCAT OPERATING",077686,0,0,0,0
"BOFIN, LLC",078386,3090,0,0,0
"BOGE, INC.",078475,2467,0,0,0
"BOLD OPERATING, LLC",080352,312142,516468,0,0
"BOLDING ENERGY, LLC",080199,1951,20376,1998,0
"BOLGER OPERATING CO.",080388,7805,0,0,0
"BOPCO, L.P.",082967,0,0,192,0
"BOYD & MCWILLIAMS ENERGY GROUP",084545,2509,1298,0,0
"BOYD & MCWILLIAMS OPERATING, LLC",084751,529669,781540,0,0
"BOYD, D. K. OIL AND GAS CO.,INC.",084596,0,0,175254,0
"BOYLES, L. S.",085311,0,0,0,0
"BRADY, W. PRODUCTION, INC.",088241,0,0,12919,0
"BRAHMAN RESOURCE PARTNERS, LLC",088562,0,0,76558,1308
"BRAZOS PETROLEUM, INC.",089939,0,0,0,0
"BRECK OPERATING CORP.",089974,6681,5326,11127,9
"BREITBURN OPERATING L.P.",090732,496489,1217946,283261,1494
"BRIDWELL OIL CO.",092480,10388,8989,0,0
"BRINE & FLUIDS OF PECOS, LLC",093393,0,0,0,0
"BRITANCO, L.L.C.",093620,0,0,6160,24
"BROCK, J.",095367,0,0,0,0
"BRODY OIL & GAS SERVICES, INC.",096265,1006,606,0,0
"BROTHERTON PRODUCTION CO.",097484,0,0,0,0
"BROWN, H.L. OPERATING, L.L.C.",100263,3214,1416,15470,0
"BROWN, OLIVER OIL",101454,3397,1008,0,0
"BROWNING OIL COMPANY, INC.",103088,3355,38570,0,0
"BTA OIL PRODUCERS, LLC",041867,309563,1196415,2439897,428201
"BUCHANAN, BILLY R.",105270,0,0,0,0
"BUCKHORN-N-DEEP, LLC",105993,0,0,0,0
"BUGINGTON ENERGY, LLC",106412,766,0,0,0
"BURGUNDY OIL & GAS, INC.",108650,8750,6297,0,0
"BURLESON PETROLEUM, INC.",109255,64750,355552,16960,10
"BURLINGTON RES O & G CO-MIDLAND",109336,723212,3469390,1089584,12341
"BURNETT OIL CO., INC.",110016,86631,307180,46758,890
"BURNS, GENE OIL & GAS",110660,5887,10041,645,0
"BUSTAMANTE OIL COMPANY",112685,1723,3752,350,0
"BUSTOS, MARTIN OIL",112687,0,0,0,0
"BUTLER, KEVIN O. & ASSOC., INC.",114050,3386,33132,0,0
"BVX OPERATING, INC.",117237,7130,63994,0,0
"BYLER DRILLING COMPANY",118700,0,0,0,0
"BYNG ENERGY GROUP, INC.",118732,0,0,0,0
"BYRD OPERATING COMPANY",118748,914,2659,0,0
"C & N OIL CO",120738,0,0,0,0
"C & S OPERATING",121055,0,0,0,0
"C&J ENERGY SERVICES",120531,0,0,0,0
"C. EDWARDS PETROLEUM, LLC",120172,0,0,0,0
"C. H. LEVENS, INC.",120504,14501,0,0,0
"CAB RESOURCES, LLC",121214,507,0,0,0
"CABAL ENERGY CORPORATION",121218,281,0,0,0
"CABOT OIL & GAS CORPORATION",121700,0,0,0,0
"CAIRD OPERATING, LLC",123132,31544,191505,0,0
"CALLAHAN LAND COMPANY",123940,313,0,3316,0
"CALLON PETROLEUM OPERATING CO",124828,5562904,8545660,0,0
"CAMBRIAN MANAGEMENT, LTD.",126758,127200,199422,6536,69
"CAMERON EXPLORATION, INC.",126996,0,0,13534,0
"CAMPANA PETROLEUM COMPANY",127700,0,0,0,0
"CAMTERRA RESOURCES, INC.",129004,0,0,22800,0
"CANNON-BALL ENERGY, LLC",129203,0,0,0,0
"CAPATAZ OPERATING, INC.",130354,1356,34,0,0
"CAPITAN ENERGY, INCORPORATED",130061,0,0,8930381,872735
"CAPROCK EXPLORATION, INC.",130464,7647,4997,0,0
"CAPROCK FIELD SERVICES LLC",130483,0,0,0,0
"CAPSTONE NATURAL RES II, LLC",130550,186285,224618,0,0
"CARDWELL OIL CORPORATION",130852,1425,0,0,0
"CARLOW CORP.",132340,1183,36984,26874,0
"CAROIL, LLC",133005,4534,0,0,0
"CARRIZO (PERMIAN) LLC",135317,2184207,14130126,1998576,175840
"CARRLAND OIL & GAS INC.",135810,593,465,0,0
"CARRUTH OIL & GAS, LLC",135967,408,906,10335,0
"CATOILAN CORPORATION",140090,0,0,0,0
"CAZADOR OPERATING, LLC",140633,9468,35885,0,0
"CBP OPERATING LLC",140529,56997,16669,0,0
"CENTENNIAL RESOURCE PROD, LLC",141077,4827791,13956275,6986425,974168
"CENTERFIRE RESOURCES",141044,0,0,0,0
