"Search Criteria:"

"Initial View: Operator"
"Well Type: Both"
"District: 8A"
"Date Range: Jan 1993 - Sep 2018"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"3-T EXPLORATION, INC.",953682,11316,0,0,0
"3TEC ENERGY CORPORATION",953592,40941,23954,0,0
"5H OIL CO., LLC",953786,1110,600,0,0
"7S OIL & GAS, LLC",954992,154,0,0,0
"A & T OIL COMPANY",000625,1279,21,0,0
"A A PRODUCTION INC.",000151,13343,111,0,0
"A C A PRODUCTION COMPANY",000181,0,0,0,0
"A K & K ENTERPRISES LLC",000388,0,0,0,0
"A.C.T. OPERATING COMPANY",000194,171700,152699,0,0
"A.K.C. OPERATING",000254,4165,148,0,0
"ABRAXAS PETROLEUM CORPORATION",003125,1345575,4264,0,0
"ABRAXAS PRODUCTION CORPORATION",003140,317678,13242,0,0
"ACE FIELD SERVICES, INC.",003526,1827,0,0,0
"ACUFF, MICHAEL",003678,3610,5875,0,0
"ADAGEO ENERGY GROUP, LLC",003964,4757,0,0,0
"ADKINS, R. L. CORP.",007937,217873,95119,0,0
"ADVENTURE OPERATING COMPANY, LLC",008483,0,0,0,0
"AEG OPERATING, LLC",008498,55520,0,0,0
"AETHON I LP",008536,291214,67129,0,0
"AGGIETECH OIL, LTD.",008718,14851,0,0,0
"AGHORN OPERATING, INC.",008716,48370,0,0,0
"AIKMAN BROTHERS, LLC",009101,3082,3390,0,0
"AIKMAN OIL CORP.",009105,10332,62,0,0
"AIKMAN, WILLIAM H.",009120,39162,24678,0,0
"AINSWORTH, R. N.",009354,661,0,0,0
"ALARON ENERGY, INC.",010450,1372,0,0,0
"ALDRIDGE SALT WATER DISP., INC.",011359,0,0,0,0
"ALEGRE ENERGY OPERATING, LP",011445,639,0,0,0
"ALEGRE ENERGY, INC.",011441,31669,10269,0,0
"ALEXANDER ENERGY CORPORATION",012190,6679,20,0,0
"ALEXANDER RESOURCES, INC.",012368,4038,0,0,0
"ALLEN, T. P. AND ALLEN, C. W.",014005,55960,10824,0,0
"ALLIANCE OGO, LP",014157,0,0,0,0
"ALPINE PETROLEUM",015138,269809,0,263584,3239
"ALPINE RESOURCES, INC.",015141,17530,4224,0,0
"ALTA ENERGY CORPORATION",015734,9281,13420,0,0
"ALTEX RESOURCES, INC.",015728,12376,21,0,0
"ALTMAN ENERGY, INC.",015744,5451,42,0,0
"ALTURA ENERGY LTD.",015726,146871441,389434864,3218646,0
"AMAX OIL & GAS INC.",016859,6900,951,0,0
"AMBRIT ENERGY CORP.",016886,84078,7784,0,0
"AMERADA HESS CORPORATION",016980,161066108,177722699,7497904,1
"AMERICAN COMETRA, INC.",018008,78459,691,0,0
"AMERICAN EXPLORATION COMPANY",018023,289936,60868,0,0
"AMERICAN GAS STORAGE, L.P.",018038,0,0,0,0
"AMERICAN NATIONAL PETROLEUM CO.",018856,6572,15,0,0
"AMERICAN OPERATING COMPANY (A)",018874,0,0,0,0
"AMERIND OIL COMPANY, LTD.",019756,8269,6043,0,0
"AMIRMEX INC.",020225,231946,35036,0,0
"AMMONITE ENERGY TEXAS, INC.",020408,131338,0,0,0
"AMOCO PRODUCTION COMPANY",020425,105746889,210687296,0,0
"AMPLIFY ENERGY OPERATING LLC",020467,0,0,0,0
"AMRON OPERATING COMPANY",020510,80236,82512,0,0
"AMTEX ENERGY",020521,28277,6780,0,0
"AMTEX ENERGY, INC.",020522,131363,8,0,0
"ANADARKO E&P ONSHORE LLC",020528,1529,0,0,0
"ANADARKO PETROLEUM CORPORATION",020572,18756118,3688074,0,0
"ANATHEMA, INC.",020581,12938,18,0,0
"ANSCHUTZ EXPLORATION CORPORATION",025642,0,0,0,0
"ANTELOPE ENERGY COMPANY, LLC",025698,0,0,19731,0
"ANTELOPE PRODUCTION CO.",025727,0,0,6259,0
"ANTHONY, BOB G. INC.",026415,0,0,0,0
"AOCO OPERATING COMPANY, L.L.C.",026802,1192887,55152,0,0
"AOCO OPERATING, L.P.",026760,349420,24294,0,0
"AOG, INC.",026800,13289,0,0,0
"AP&E CO., INC.",027000,2503,225,0,0
"APACHE CORPORATION",027200,119515114,51027101,0,0
"APACHE ENERGY RESOURCES CORP.",027213,121106,35242,0,0
"APEX MINERALS CO.",027426,6161,0,0,0
"APOLLO ENERGY OPERATING CO, LP",027474,3180,0,0,0
"APV MCCAMEY LLC",028617,0,0,0,0
"AQUEOUS OPERATING, LLC",028631,0,0,0,0
"AQUINNAH RESOURCES, LLC",028703,346,0,0,0
"ARATEX PRODUCTION COMPANY",028723,51329,25234,0,0
"ARCH OIL & GAS, LLC",029272,11,0,0,0
"ARCH PETROLEUM INC.",029270,94333,42621,0,0
"ARCO OIL & GAS CO.",029340,3180096,14093399,3286,0
"ARCO PERMIAN",029347,16786415,85159557,361376,0
"ARD DRILLING COMPANY INC.",029413,1410516,1670154,560221,292
"ARD, JULIAN",029415,20132,42,0,0
"ARES ENERGY, LTD.",029655,86323,0,0,0
"ARIES OPERATING, LLC",030129,19987,6143,0,0
"ARIES OPERATING, LP",030128,93866,59293,0,0
"ARKLAND PRODUCING CO., INC.",030791,28804,9840,0,0
"ARMOR PETROLEUM, INC.",031585,70126,0,0,0
"AROC (TEXAS) INC.",033049,422461,26739,0,0
"ARRINGTON,DAVID H. OIL & GAS,INC",033148,200444,23,1286429,5119
"ARROW OIL & GAS, LLC",033228,4960,0,0,0
"ARROWHEAD OPERATING INC.",033521,105838,0,0,0
"ASM OIL & GAS COMPANY, INC.",000610,35824,0,0,0
"ASPECT ENERGY, LLC",035453,0,0,0,0
"ASPECT RESOURCES LLC",035452,0,0,0,0
"ASPEN OPERATING COMPANY, L.L.C.",035430,134498,594,150738,0
"ASSOCIATE WATER SYSTEMS, L.L.C.",035499,0,0,0,0
ATAPCO,035633,439869,633251,260994,0
"ATASCA RESOURCES, INC.",035643,69722,15444,0,0
"ATHENS/ALPHA GAS CORPORATION",036046,167,39,0,0
"ATLANTIC OPERATING, INC.",036546,193447,157123,0,0
"ATLAS ENERGY CORPORATION (DEL.)",036574,2190,4024,0,0
"ATLAS OPERATING LLC",036587,158121,24793,0,0
"ATROPOS EXPLORATION COMPANY",036618,4972,33,0,0
"ATX OPERATING COMPANY, INC.",036741,59,0,0,0
"AUGUSTA OIL & GAS",036856,3348,0,0,0
"AUSTEX PETROLEUM CORP.",037095,0,0,0,0
"AUTRY PRODUCING CO.",037859,22053,60,0,0
"AUTRY PRODUCING INC.",037862,7988,0,0,0
"AVAD OPERATING, LLC",037877,9471,0,0,0
"AVIARA ENERGY CORPORATION",038690,65539,135672,0,0
"AVRA OIL COMPANY",038723,345149,86746,0,0
"AXIS ENERGY CORPORATION",039136,11696,36072,232868,1432
"AZIMUTH ENERGY, LLC",039661,0,0,0,0
"B & B DISPOSAL COMPANY, LLC",039782,0,0,0,0
"B & B OPERATING CO, INC.",039802,49790,71371,99825,1824
"B & H OPERATING COMPANY",040586,22775,40,0,0
"B & L BRINE SALES INC.",040715,0,0,0,0
"B & S SALVAGE",041540,358357,1459,0,0
"B & W SOUTHERN PETROLEUM",042159,10053,37636,34439,127
"B C & D OIL & GAS CORP.",040136,52484,48821,0,0
"B&M PRODUCTION&OPERATIONS, INC.",040131,3920,0,0,0
"B-B PRODUCTION",040138,2451,40,0,0
"B. & M. FAMILY OIL COMPANY",040756,108226,140716,0,0
"B. W. P., INC.",042180,13875,66,0,0
"B.A.R. TREATING SERVICE, INC.",039768,67995,11,0,0
"B.O.F. SERVICES, INC.",041815,0,0,0,0
"B.T. RESOURCES",041844,0,0,0,0
"BABER WELL SERVICING CO.",042265,1817,31,0,0
"BALD EAGLE PRODUCTION CO., INC.",047208,2281,420,0,0
"BAM PERMIAN OPERATING, LLC",048351,25385,0,0,0
"BANAM CORPORATION",048175,201102,169,0,0
"BANKERS PETROLEUM (US) INC.",048401,0,0,0,0
"BAR D ENERGY, LLC",049715,329,0,0,0
"BAR-BELL, INC.",049772,0,0,0,0
"BARA CORPORATION",048565,7812,164,0,0
"BARFIELD, GEORGE F.",049195,2415,48,0,0
"BARGO ENERGY COMPANY",049250,97011,8084,0,0
"BARJ OIL CO.",049280,7010,79,0,0
"BARKER BROWN INVESTMENTS, LLC.",049397,62788,114791,0,0
"BARNETT ENERGY, INC.",051290,263429,103,0,0
"BARON ENERGY INC.",052969,1603,0,0,0
"BARRETT BROTHERS OIL & GAS, INC.",053106,560137,115505,0,0
"BARRETT, BILL CORPORATION",053014,1900,302,0,0
"BASA RESOURCES, INC.",053974,0,0,0,0
"BASIC ENERGY SERVICES, INC.",054310,0,0,0,0
"BASIC ENERGY SERVICES, L.P.",054313,0,0,0,0
"BASIN ENGINEERING-TEXAS LLC",054378,2077,0,0,0
"BASS ENTERPRISES PRODUCTION CO.",054700,13133877,6494914,15317,22
"BASS PETROLEUM, INC",054836,4180,718,0,0
"BASS, HARRY W. JR.",055005,90993,55573,0,0
"BASS, HARRY W., JR. MGMT TRUST",055010,101089,48659,0,0
"BAXTER CASING PULLERS, INC.",056529,0,0,0,0
