"Search Criteria: "

"Initial View: Operator"
"Well Type: Both"
"District: 8A"
"Date Range: Jan 1993 - Sep 2018"

Date,"Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
1993,159464620,275134458,4686443,28820
1994,155134350,246947423,4563597,24437
1995,151182358,236063833,5420217,29631
1996,150568011,245124154,8481509,41098
1997,147841193,225726647,11413428,63579
1998,143572737,227400641,10527084,61517
1999,134486612,226014674,11861637,64424
2000,132731470,232288825,18326887,62945
2001,130362370,247275336,17035066,70636
2002,130306008,240150268,19424806,62982
2003,130170771,267825156,20711907,62283
2004,128637225,354446239,22342719,69233
2005,126374687,103437420,21651538,66998
2006,121820958,104839674,24322546,93617
2007,117438600,103540647,23797883,117582
2008,114993664,107501148,23883041,149612
2009,111269279,107919280,21708850,135598
2010,108541932,105142316,18311929,109491
2011,106487528,112652720,14489578,83347
2012,105917181,108689197,12687824,75315
2013,104881661,104751085,11337655,66000
2014,105386575,107522171,11306269,78490
2015,104242580,111073740,10670636,75282
2016,99397470,113188157,9023859,66467
2017,98382737,113933710,8287892,52698
2018,56898930,68548719,3910631,24167
Total,3176491507,4497137638,370185431,1836249
