"Search Criteria: "

"Initial View: Operator"
"Well Type: Both"
"District: 8A"
"Date Range: Jan 1993 - Sep 2018"

Date,"Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
" Jan 1993",13905785,22474095,411494,2185
" Feb 1993",12536919,20828431,382524,2588
" Mar 1993",13803774,23164635,423666,2580
" Apr 1993",13241815,22759791,419230,2443
" May 1993",13636311,23938171,401082,2558
" Jun 1993",13115554,23105126,387713,2603
" Jul 1993",13429266,24400643,399818,1924
" Aug 1993",13380374,24203394,392767,2215
" Sep 1993",12852729,21696993,379610,2250
" Oct 1993",13267194,22750883,363948,2497
" Nov 1993",12937872,22453205,369324,2548
" Dec 1993",13357027,23359091,355267,2429
" Jan 1994",13331752,19884847,361595,2719
" Feb 1994",12043488,18095519,329780,2215
" Mar 1994",13271363,20220646,360931,2288
" Apr 1994",12770073,19699291,362355,2227
" May 1994",13178161,20633011,372895,2587
" Jun 1994",12692161,20995673,367508,1659
" Jul 1994",13053227,21477279,417360,1567
" Aug 1994",13093710,21670947,431857,1686
" Sep 1994",12688478,20766424,404342,2046
" Oct 1994",13132484,21491457,414425,1673
" Nov 1994",12678814,20633708,380147,1630
" Dec 1994",13200639,21378621,360402,2140
" Jan 1995",13008343,20788870,375470,1525
" Feb 1995",11808618,18741805,368353,2410
" Mar 1995",12968872,20808186,437610,2165
" Apr 1995",12477920,19774418,476836,2513
" May 1995",12819092,20690192,430782,2056
" Jun 1995",12396342,18810886,369848,2051
" Jul 1995",12728299,19273393,445294,3063
" Aug 1995",12667509,19388617,429956,3136
" Sep 1995",12216470,18785975,435294,2630
" Oct 1995",12787919,19736488,525788,2438
" Nov 1995",12448660,19529970,544846,2649
" Dec 1995",12854314,19735033,580140,2995
" Jan 1996",12760422,19630959,553850,3156
" Feb 1996",11993743,18631628,553955,3603
" Mar 1996",12918635,19608678,686150,3353
" Apr 1996",12328943,19307771,751321,3486
" May 1996",12738216,20162427,668177,2909
" Jun 1996",12273179,19442150,613187,2643
" Jul 1996",12701547,21007244,712769,2945
" Aug 1996",12690770,21171016,786467,3332
" Sep 1996",12289334,20570635,728295,3260
" Oct 1996",12756269,23192731,803205,3604
" Nov 1996",12396619,21051395,772077,4101
" Dec 1996",12720334,21347520,852056,4706
" Jan 1997",12570532,18626701,842675,5123
" Feb 1997",11476485,17324745,741780,4153
" Mar 1997",12682966,19415307,924183,6634
" Apr 1997",12220263,19039325,897360,5697
" May 1997",12602305,19726408,1075695,5751
" Jun 1997",12078832,18663393,890375,5388
" Jul 1997",12520084,19559511,903542,4607
" Aug 1997",12482861,19547102,997749,4889
" Sep 1997",12066080,18446778,1064078,5634
" Oct 1997",12520367,18898886,1094644,5370
" Nov 1997",12188377,18261355,1023642,5531
" Dec 1997",12432041,18217136,957705,4802
" Jan 1998",12456697,18731249,905486,5191
" Feb 1998",11314014,17025393,775087,4959
" Mar 1998",12490739,18522362,859482,5035
" Apr 1998",12050051,17786981,893817,4331
" May 1998",12398526,19875034,841582,4342
" Jun 1998",11805567,19500446,736412,3776
" Jul 1998",12049088,19881445,849153,4349
" Aug 1998",12184828,20043002,934577,5985
" Sep 1998",11695151,19467154,920822,5969
" Oct 1998",11966661,19679605,972113,6172
" Nov 1998",11481997,18884604,917483,5769
" Dec 1998",11679418,18003366,921070,5639
" Jan 1999",11716158,19153169,922947,6148
" Feb 1999",10535783,17240756,849049,5973
" Mar 1999",11578808,17692811,963198,6099
" Apr 1999",11079533,18232716,919097,5316
" May 1999",11390888,19063727,964620,5508
" Jun 1999",10907390,19137588,924172,4371
" Jul 1999",11288303,19869292,994225,5205
" Aug 1999",11269601,19575608,973401,5053
" Sep 1999",10939069,19026849,898535,4795
" Oct 1999",11367776,19168705,925745,5264
" Nov 1999",11026095,18753783,1057255,4934
" Dec 1999",11387208,19099670,1469393,5758
" Jan 2000",11425208,19434531,1524924,5046
" Feb 2000",10703953,18166564,1450581,5533
" Mar 2000",11407998,19495745,1566966,5491
" Apr 2000",10920134,19154755,1554801,5436
" May 2000",11212123,19677947,1668222,4672
" Jun 2000",10843872,19184583,1518564,4302
" Jul 2000",11203414,20021464,1596828,4150
" Aug 2000",11147451,19941284,1557897,4444
" Sep 2000",10889479,19838785,1380055,3955
" Oct 2000",11185175,19777477,1580298,5691
" Nov 2000",10784065,18951270,1406915,6284
" Dec 2000",11008598,18644420,1520836,7941
" Jan 2001",11116173,20772380,1578106,7481
" Feb 2001",10033719,18190950,1435640,6273
" Mar 2001",11127714,19394001,1561653,7184
" Apr 2001",10726975,20662277,1475960,5384
" May 2001",11092883,20412926,1609255,5894
" Jun 2001",10734983,21322833,954427,5549
" Jul 2001",10971173,21480479,1036142,5188
" Aug 2001",10973469,21291222,1027654,5353
" Sep 2001",10646381,20378339,1680408,4876
" Oct 2001",11137844,21739967,1647040,5554
" Nov 2001",10709196,20836569,1519751,4809
" Dec 2001",11091860,20793393,1509030,7091
" Jan 2002",11081725,20387188,1603598,5617
" Feb 2002",10063142,18312068,1471455,5505
" Mar 2002",11109289,20208039,1601464,6193
" Apr 2002",10725055,20432583,1677056,6215
" May 2002",11118258,19251391,1680195,6045
