"Search Criteria:"

"Initial View: Operator"
"Well Type: Both"
"District: 8A"
"Date Range: Jan 1993 - Jan 1994"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"A & T OIL COMPANY",000625,769,13,0,0
"A A PRODUCTION INC.",000151,4408,103,0,0
"A C A PRODUCTION COMPANY",000181,0,0,0,0
"ABRAXAS PRODUCTION CORPORATION",003140,119055,6742,0,0
"ACUFF, MICHAEL",003678,3610,5875,0,0
"AIKMAN OIL CORP.",009105,2923,13,0,0
"AIKMAN, WILLIAM H.",009120,9300,2839,0,0
"AINSWORTH, R. N.",009354,0,0,0,0
"ALDRIDGE SALT WATER DISP., INC.",011359,0,0,0,0
"ALEXANDER ENERGY CORPORATION",012190,3051,13,0,0
"ALLEN, T. P. AND ALLEN, C. W.",014005,8960,1163,0,0
"ALTA ENERGY CORPORATION",015734,9281,13420,0,0
"ALTEX RESOURCES, INC.",015728,5557,13,0,0
"ALTMAN ENERGY, INC.",015744,2330,13,0,0
"AMAX OIL & GAS INC.",016859,6236,947,0,0
"AMERADA HESS CORPORATION",016980,17354288,51669063,8529,0
"AMERICAN COMETRA, INC.",018008,20401,671,0,0
"AMERICAN EXPLORATION COMPANY",018023,148892,28043,0,0
"AMERICAN GAS STORAGE, L.P.",018038,0,0,0,0
"AMERICAN NATIONAL PETROLEUM CO.",018856,2283,6,0,0
"AMERIND OIL COMPANY, LTD.",019756,1869,1442,0,0
"AMIRMEX INC.",020225,1488,6,0,0
"AMOCO PRODUCTION COMPANY",020425,30984567,60941278,0,0
"AMRON OPERATING COMPANY",020510,6071,4683,0,0
"AMTEX ENERGY",020521,12194,6325,0,0
"ANADARKO PETROLEUM CORPORATION",020572,1428313,397437,0,0
"ANATHEMA, INC.",020581,0,0,0,0
"ANTELOPE PRODUCTION CO.",025727,0,0,1318,0
"ANTHONY, BOB G. INC.",026415,0,0,0,0
"AP&E CO., INC.",027000,962,131,0,0
"ARATEX PRODUCTION COMPANY",028723,3273,13,0,0
"ARCH PETROLEUM INC.",029270,18690,14118,0,0
"ARCO OIL & GAS CO.",029340,2425663,10895617,3286,0
"ARD DRILLING COMPANY INC.",029413,237280,385199,157137,292
"ARD, JULIAN",029415,2966,26,0,0
"ARRINGTON,DAVID H. OIL & GAS,INC",033148,602,13,0,0
ATAPCO,035633,87177,123166,63273,0
"ATLAS ENERGY CORPORATION (DEL.)",036574,2190,3977,0,0
"ATROPOS EXPLORATION COMPANY",036618,2176,13,0,0
"AUTRY PRODUCING CO.",037859,2202,39,0,0
"AVRA OIL COMPANY",038723,19457,4768,0,0
"B & B OPERATING CO, INC.",039802,6855,14037,18239,254
"B & H OPERATING COMPANY",040586,1932,26,0,0
"B & L BRINE SALES INC.",040715,0,0,0,0
"B & S SALVAGE",041540,15510,200,0,0
"B C & D OIL & GAS CORP.",040136,4905,4636,0,0
"B-B PRODUCTION",040138,1365,26,0,0
"B. & M. FAMILY OIL COMPANY",040756,21491,46650,0,0
"B. W. P., INC.",042180,1888,13,0,0
"BABER WELL SERVICING CO.",042265,1370,24,0,0
"BALD EAGLE PRODUCTION CO., INC.",047208,2281,420,0,0
"BANAM CORPORATION",048175,23091,29,0,0
"BAR-BELL, INC.",049772,0,0,0,0
"BARFIELD, GEORGE F.",049195,1960,39,0,0
"BARJ OIL CO.",049280,137,52,0,0
"BARNETT ENERGY, INC.",051290,2021,26,0,0
"BASS ENTERPRISES PRODUCTION CO.",054700,1265964,738059,15317,22
"BASS, HARRY W. JR.",055005,25755,13275,0,0
"BAXTER CASING PULLERS, INC.",056529,0,0,0,0
"BAXTER OIL WELL SERVICE",056537,0,0,0,0
"BAXTER, KELLY H.",056555,5821,20,0,0
"BAXTER, MURPHY H.",056580,43261,84,0,0
"BAYRIDGE TEXAS CORP.",058834,1920,14,0,0
"BAYTECH, INC.",058873,68989,19996,0,0
