MasterYear,8,8A,7C
1993,1445,915,1255
1994,1428,920,1197
1995,1413,920,1161
1996,1386,925,1136
1997,1317,891,1103
1998,1317,897,1070
1999,1301,879,1031
2000,1322,865,1009
2001,1283,831,990
2002,1262,840,977
2003,1248,827,946
2004,1142,754,864
2005,1128,739,856
2006,1114,741,854
2007,1103,736,857
2008,1123,736,856
2009,1035,689,804
2010,1061,695,814
2011,1067,687,834
2012,1085,686,850
2013,1104,704,894
2014,1145,712,890
2015,1164,716,890
2016,1186,717,889
2017,1191,732,886
2018,1145,706,841
