"Search Criteria:"

"Initial View: Operator"
"Well Type: Both"
"County Name: ANDREWS"
"Date Range: Jan 1993 - Sep 2018"

"Operator Name","Operator No.","Oil (BBL)","Casinghead (MCF)","GW Gas (MCF)","Condensate (BBL)"
"1894 PETROLEUM PARTNERS, LLC",194375,1595,0,0,0
"3TEC ENERGY CORPORATION",953592,69240,52326,0,0
"7S OIL & GAS, LLC",954992,0,0,0,0
"A K & K ENTERPRISES LLC",000388,790,0,0,0
"ABARTA OIL & GAS CO., INC.",000918,53300,126,0,0
"ADKINS PRODUCTION",007920,3856,0,0,0
"ADKINS, R. L. CORP.",007937,1297,50,0,0
"AETHON I LP",008536,178621,2238371,0,0
"AGGIETECH OIL, LTD.",008718,3103,0,0,0
"AGHORN OPERATING, INC.",008716,344420,257075,0,0
"AJ'S PUMP TRUCK SERVICE, INC.",009534,0,0,3842,0
"AJAX RESOURCES, LLC",000597,1665404,1886166,0,0
"ALLEDER INC.",013296,280276,99775,0,0
"ALPINE RESOURCES, INC.",015141,17727,24209,0,0
"ALTURA ENERGY LTD.",015726,8784191,8374119,117686,118
"AMERICAN EXPLORATION COMPANY",018023,497196,230161,0,0
"AMERICO ENERGY RESOURCES, LLC",019752,439119,111159,0,0
"AMERIND OIL COMPANY, LTD.",019756,97469,662187,0,0
"AMOCO PRODUCTION COMPANY",020425,12399174,12848658,156032,0
"ANADARKO PETROLEUM CORPORATION",020572,1604383,1747669,0,0
"ANDECTOR EXPLORATION COMPANY",020783,99561,1148950,0,0
"ANDREWS COUNTY WASTE DISP, LLC",024326,6,0,0,0
"ANDREWS-BUTANE ROUTE DISPOSAL",024300,0,0,0,0
"ANTHONY, BOB G. INC.",026415,2262,4976,0,0
"APACHE CORPORATION",027200,26519505,35193699,11006,0
"ARATEX PRODUCTION COMPANY",028723,9222,12551,0,0
"ARCH OIL & GAS, LLC",029272,159,0,0,0
"ARCH PETROLEUM INC.",029270,8146,80,0,0
"ARCO OIL & GAS CO.",029340,141246,3737758,99165,579
"ARCO PERMIAN",029347,952863,13437545,35590,1476
"ARES ENERGY, LTD.",029655,201177,103206,0,0
"ARGUS DRILLING, LLC",029975,4364,10442,0,0
"AROC (TEXAS) INC.",033049,25901,12818,0,0
"ARRINGTON,DAVID H. OIL & GAS,INC",033148,4861,5214,0,0
"ARROW OPERATING COMPANY",033226,412039,174572,0,0
"ARY, J. KIRK",033840,5414,16015,0,0
"ASHTON, CLIFFORD ESTATE",035310,1993,21,0,0
"ASPEN ENERGY CORPORATION",035442,19682,4690,0,0
"ASPEN ENERGY GROUP, INC.",035441,8919,0,0,0
"ASPEN OPERATING COMPANY, L.L.C.",035430,36937,8200,0,0
ATAPCO,035633,101499,28512,0,0
"ATHLON ENERGY OPERATING LLC",036047,100714,141099,0,0
"ATHLON HOLDINGS LP",036067,162801,401603,0,0
"ATLAS OPERATING LLC",036587,47148,0,0,0
"AUSLAND PRODUCTION COMPANY",036934,142823,356238,0,0
"AUTUMN ENERGY LLC",037869,4444,0,0,0
"AUTUMN ENERGY OPERATING",037871,40,0,0,0
"B & R CONTRACTING",041135,0,0,130803,0
"B & R OIL, INC.",041156,56439,482554,88857,0
"B & W SOUTHERN PETROLEUM",042159,7969,0,79678,0
"B K ENERGY",040788,100922,107748,0,0
"B K ENERGY, INC.",040793,98263,168389,0,0
"BABER WELL SERVICING CO.",042265,1073,7230,0,0
"BAKER OPERATING, INC.",046623,24015,21,0,0
"BALD EAGLE OPERATING",080191,338,676,2412,0
"BALD EAGLE OPERATING INC.",047200,29400,83053,596199,13975
"BAM PERMIAN OPERATING, LLC",048351,12122,0,0,0
"BARRETT RESOURCES CORPORATION",053051,30563,0,0,0
"BARRETT, BILL CORPORATION",053014,91,0,0,0
"BARROW PETROLEUM LLC",053314,178,0,0,0
"BASIC ENERGY SERVICES, INC.",054310,0,0,0,0
"BASIC ENERGY SERVICES, L.P.",054313,0,0,0,0
"BASIN ENGINEERING-TEXAS LLC",054378,31,0,0,0
"BASIN WELL SERVICE OF ODESSA,INC",054618,4475,0,0,0
"BASS ENTERPRISES PRODUCTION CO.",054700,1700630,323881,0,0
"BASS PETROLEUM, INC",054836,75393,0,0,0
"BAXTER, KELLY H.",056555,1337,6167,0,0
"BAXTER, KELLY H. OIL AND GAS CO.",056536,0,0,0,0
"BAYLOR OPERATING, LLC",058832,19417,21135,0,0
"BC OPERATING, INC.",058893,437863,305086,18,0
"BECT OPERATING, LLC",061554,4558,0,0,0
"BEDFORD OIL & GAS, INC.",061600,58349,4476,0,0
"BEEKAY COMPANY",061745,3633,2738,0,0
"BELCO ENERGY CORP.",062673,3272163,2799310,0,0
"BEPCO, L.P.",066722,457323,62854,0,0
"BETTIS, BOYLE & STOVALL",068360,365953,231941,0,0
"BETWELL OIL & GAS COMPANY",068405,538115,43060,0,0
"BIG D ENERGY COMPANY",069344,179,0,4007291,18
"BIG SHELL OIL & GAS, INC.",070376,73936,38678,0,0
"BLACKBEARD OPERATING, LLC",073056,40501,0,0,0
